WISE,HIIName,GLON,GLAT,Rad,Dist,RGal,Z,DV1,R_pc,group_multiplicity,driving_proxy,ambient_resistance_proxy,existing_bubble_strength,choke_B1,choke_B2
G150.982-00.471,BFS34,150.983,-0.47,181,3.0,11.2,-24.0,33.8,2.63253828842478,1,1142.4399999999998,0.03473525894473857,1,32889.92322808199,32889.92322808199
G150.596-00.955,G150.590-00.950; S206,150.596,-0.955,482,3.2,11.4,-52.0,26.6,7.477766217433484,1,707.5600000000001,0.02721983009191005,1,25994.284226274158,25994.284226274158
G159.354+02.576,S219,159.354,2.576,214,6.4,14.7,288.0,42.3,6.640008176476204,1,1789.2899999999997,0.0021984559630425313,1,813884.8492210549,813884.8492210549
G159.159+03.331,S217,159.159,3.332,545,3.5,11.8,202.0,27.9,9.247820967164397,1,778.41,0.00893217602384551,1,87146.73758353412,87146.73758353412
G154.646+02.438,G154.640+02.436; S211,154.646,2.438,370,6.0,14.1,253.0,45.1,10.762863720631698,1,2034.0100000000002,0.0032953658173320117,1,617233.4462238161,617233.4462238161
G155.372+02.613,G155.357+02.609; S212,155.372,2.614,459,7.6,15.7,345.0,22.0,16.912240451825053,1,484.0,0.0011298004150420786,1,428394.2487151359,428394.2487151359
G151.609-00.233,G151.594-00.228; S209,151.609,-0.232,415,9.0,16.9,-36.0,29.2,18.10779098944117,1,852.64,0.006291401440403121,1,135524.6534618473,135524.6534618473
G151.273+01.961,S208,151.273,1.961,309,4.3,12.5,147.0,23.9,6.441719380902405,1,571.2099999999999,0.01055211915531876,1,54132.25453506024,54132.25453506024
G151.180+02.124,S207,151.18,2.124,297,4.3,12.4,158.0,28.7,6.191555521449884,1,823.6899999999999,0.010090201483431429,1,81632.66128555872,81632.66128555872
G123.155-06.306,G123.058-06.297; S184; NGC281,123.155,-6.306,1093,2.8,10.3,-309.0,20.4,14.837237896676239,1,416.15999999999997,0.006718723197596191,1,61940.340115349994,61940.340115349994
G118.621-01.329,S172,118.621,-1.329,235,4.3,11.2,-98.0,27.0,4.899042247611861,1,729.0,0.021208922073093564,1,34372.32677302525,34372.32677302525
G119.437-00.916,S173,119.437,-0.916,1068,3.4,10.6,-54.0,28.7,17.60455438844947,1,823.6899999999999,0.03375686656528035,1,24400.665221907253,24400.665221907253
G117.639+02.275,S170,117.639,2.276,796,5.6,12.1,221.0,29.3,21.61105464913868,1,858.49,0.007223062908539111,1,118854.01122356174,118854.01122356174
G143.555-01.542,S203,143.555,-1.542,1288,4.2,12.2,-113.0,35.9,26.226480893301456,1,1288.81,0.014421319895283473,1,89368.38024247062,89368.38024247062
G138.494+01.634,G138.486+01.635; S201,138.494,1.635,387,3.6,11.4,102.0,22.2,6.754424205218056,1,492.84,0.019503860529352178,1,25268.84353271007,25268.84353271007
G136.884+00.911,G136.913+01.033,136.884,0.912,805,2.0,10.0,31.0,20.5,7.805500265863529,1,420.25,0.04670941522522355,1,8997.11542038447,8997.11542038447
G134.970+00.699,G136.913+01.033; W4; S190,134.97,0.699,3144,4.2,11.9,51.0,20.5,64.018676963152,1,420.25,0.023754103131305004,1,17691.680366839944,17691.680366839944
G136.117+02.058,S194,136.117,2.058,108,4.9,12.5,175.0,26.7,2.5656340004316642,1,712.89,0.00875530708831578,1,81423.75736327661,81423.75736327661
G136.084+02.087,S192,136.084,2.088,90,4.8,12.4,173.0,31.3,2.0943951023931957,1,979.69,0.009129991857730703,1,107304.58638585315,107304.58638585315
G136.119+02.118,S193,136.119,2.119,127,5.4,13.0,201.0,28.9,3.324852225049198,1,835.2099999999999,0.006381923651571932,1,130871.19896745855,130871.19896745855
G136.448+02.519,S196,136.448,2.519,317,5.3,12.8,231.0,28.3,8.145354656321315,1,800.89,0.005532348571440685,1,144764.92029703027,144764.92029703027
G132.156-00.729,G132.157-00.725,132.156,-0.729,140,6.2,13.4,-78.0,26.4,4.208182752030772,1,696.9599999999999,0.01292526406065696,1,53922.30261054915,53922.30261054915
G133.678+01.212,G133.720+01.210; S190; W3,133.678,1.213,80,4.1,11.7,87.0,28.2,1.590188874039278,2,795.24,0.019784486809231085,2,40195.1290254825,20097.56451274125
G133.712+01.221,G133.720+01.210; S190; W3,133.712,1.222,117,2.0,9.9,41.0,28.2,1.134464013796314,2,795.24,0.044963476059045514,2,17686.35500857852,8843.17750428926
G133.781+01.428,G133.790+01.410; W3,133.781,1.428,178,2.0,9.9,48.0,29.5,1.7259367047499483,1,870.25,0.042913387938625674,1,20279.219185505077,20279.219185505077
G123.207+02.831,S183,123.207,2.832,1422,6.6,13.3,325.0,25.2,45.500733599492165,1,635.04,0.0025627697630664823,1,247794.40164774802,247794.40164774802
G120.348+01.968,S175,120.348,1.969,231,5.6,12.3,192.0,24.9,6.2715497788329575,1,620.0099999999999,0.008276908794527523,1,74908.40063502142,74908.40063502142
G055.855-03.803,S84,55.856,-3.802,145,2.3,7.4,-154.0,24.2,1.6168536265003024,1,585.64,0.04324159581283505,1,13543.440962143428,13543.440962143428
G056.083-00.176,G056.082-00.178,56.083,-0.175,99,4.7,7.1,-14.0,19.4,2.2558380582026714,1,376.35999999999996,0.11980321444436777,1,3141.4849905781766,3141.4849905781766
G056.153+00.076,G056.157+00.076,56.154,0.076,126,9.9,8.7,13.0,22.1,6.047565858160351,1,488.4100000000001,0.07635353470022384,1,6396.691416023838,6396.691416023838
G056.263-00.171,G056.252-00.160,56.264,-0.171,60,4.7,7.2,-14.0,17.3,1.3671745807288915,2,299.29,0.11642870233166266,2,2570.586066891243,1285.2930334456214
G056.250-00.158,G056.252-00.160,56.251,-0.157,53,4.7,7.2,-12.0,17.3,1.2076708796438542,2,299.29,0.1179914803976591,2,2536.539070374591,1268.2695351872956
G057.541-00.279,G057.550-00.270,57.542,-0.279,212,8.8,8.3,-42.0,25.9,9.044684034779504,1,670.81,0.07055035481481431,1,9508.24417199305,9508.24417199305
G057.545-00.275,G057.550-00.270,57.546,-0.274,72,8.8,8.3,-42.0,25.9,3.07177948351002,1,670.81,0.07055035481481431,1,9508.24417199305,9508.24417199305
G077.384-03.659,S107,77.385,-3.659,361,1.5,8.3,-95.0,39.5,2.625266083208137,1,1560.25,0.04955055067422179,1,31488.04561745679,31488.04561745679
G094.494-01.513,S124,94.495,-1.513,517,5.5,10.5,-144.0,27.4,13.785677022349656,1,750.7599999999999,0.019063114291611637,1,39382.86202954559,39382.86202954559
G102.877-00.695,G102.875-00.721; S132,102.877,-0.694,913,5.7,11.2,-68.0,27.1,25.230188778621365,1,734.4100000000001,0.02590463591768059,1,28350.52391138785,28350.52391138785
G107.209-01.334,S143,107.209,-1.334,326,4.1,10.5,-96.0,26.9,6.480019661710057,1,723.6099999999999,0.026252343965687965,1,27563.633972865977,27563.633972865977
G107.034-00.801,G107.182-00.953; S142,107.034,-0.801,1323,4.1,10.5,-57.0,33.0,26.29774850442456,1,1089.0,0.034047454734599344,1,31984.769742372195,31984.769742372195
