recno,Name,Meth,Nbin,rmax,K0,e_K0,sigK0,K100,e_K100,alpha,e_alpha,DOF,chi2,p-val,z,<kT>,K_core,K_500kpc,entropy_ratio_outer_to_core
3,1E0657 56,flat,,,307.5,19.3,15.9,18.6,6.5,1.88,0.17,45,42.87,0.563,0.296,11.64,307.5,690.8333039723311,2.2466123706417274
7,2A 335+096,flat,,,7.1,0.1,49.3,138.6,1.9,1.52,0.02,34,209.16,4.39e-27,0.0347,2.88,7.1,1607.3861142630499,226.3924104595845
11,2PIGG J0011.5-2850,flat,,,102.0,42.9,2.4,214.7,51.5,0.84,0.29,24,2.79,1.0,0.0753,5.15,102.0,931.7874231740328,9.135170815431694
15,2PIGG J2227.0-3041,flat,,,17.1,1.0,17.4,113.9,3.6,1.37,0.06,20,11.5,0.932,0.0729,2.79,17.1,1050.1292770482405,61.41106883323043
19,3C 28.0,flat,,,23.9,1.3,18.6,107.8,3.9,1.79,0.09,9,22.93,0.00635,0.1952,5.53,23.9,1945.9959720876939,81.42242561036376
23,3C 295,flat,,,14.5,2.5,5.8,81.9,6.3,1.47,0.07,14,8.36,0.87,0.4641,5.16,14.5,887.0087844270676,61.17301961565983
27,3C 388,flat,,,17.0,5.8,3.0,214.3,8.5,0.76,0.07,21,10.9,0.965,0.0917,3.23,17.0,745.1810526194897,43.83417956585234
31,4C 55.16,flat,,,23.3,2.9,8.1,161.6,7.7,1.29,0.06,18,7.92,0.98,0.242,4.98,23.3,1311.8837849039815,56.30402510317517
35,Abell 13,flat,,,182.6,26.2,7.0,182.0,36.8,1.37,0.22,32,11.58,1.0,0.094,6.84,182.6,1833.2701354063195,10.039814542203283
39,Abell 68,flat,,,217.3,89.0,2.4,142.3,98.3,0.89,0.39,28,1.72,1.0,0.2546,9.01,217.3,813.3575645174451,3.74301686386307
43,Abell 85,flat,,,12.5,0.5,23.7,158.8,1.9,1.12,0.02,36,59.03,0.0091,0.0558,6.4,12.5,975.6565955110689,78.05252764088551
47,Abell 119,flat,,,233.9,87.7,2.7,191.3,102.8,0.75,0.61,20,0.1,1.0,0.0442,5.86,233.9,873.5501017099476,3.7347161253097374
51,Abell 133,flat,,,17.3,0.5,35.0,170.1,4.1,1.59,0.04,17,54.26,9.02e-06,0.0558,4.31,17.3,2215.497049000333,128.06341323701346
55,Abell 141,flat,,,205.0,27.4,7.5,42.6,20.8,1.78,0.33,30,175.31,1.84e-22,0.23,5.31,205.0,952.4397779530417,4.646047697331911
59,Abell 160,flat,,,155.8,27.7,5.6,116.3,29.2,0.98,0.57,25,0.33,1.0,0.0447,1.88,155.8,718.8802813994537,4.614122473680704
63,Abell 193,flat,,,185.5,13.3,13.9,36.0,16.8,2.23,1.89,23,0.02,1.0,0.0485,2.5,185.5,1488.683613531105,8.025248590464178
67,Abell 209,flat,,,105.5,26.9,3.9,149.3,35.2,0.8,0.21,16,2.73,1.0,0.206,8.28,105.5,646.5480189353998,6.128417241093837
71,Abell 222,flat,,,126.0,15.0,8.4,82.2,19.0,1.0,0.15,34,4.94,1.0,0.213,4.6,126.0,537.0,4.261904761904762
75,Abell 223,flat,,,183.9,46.1,4.0,160.7,59.2,1.24,0.31,27,1.35,1.0,0.207,5.28,183.9,1366.2299259200702,7.429200249701306
79,Abell 262,flat,,,10.6,0.8,13.8,205.1,7.9,0.98,0.04,27,60.17,0.00025,0.0164,2.18,10.6,1003.6160422616333,94.68075870392768
83,Abell 267,flat,,,168.6,17.6,9.6,51.8,21.0,1.82,0.38,19,0.62,1.0,0.23,6.79,168.6,1137.8932036769784,6.749070009946491
87,Abell 368,flat,,,50.9,8.2,6.2,144.1,15.4,1.21,0.11,25,6.18,1.0,0.22,6.23,50.9,1061.1240097256755,20.847230053549616
91,Abell 370,flat,,,321.9,90.8,3.5,78.7,89.3,1.24,0.68,17,2.41,1.0,0.3747,7.35,321.9,900.9252966391383,2.798773832367625
95,Abell 383,flat,,,13.0,1.6,8.3,110.9,5.2,1.4,0.09,10,6.3,0.789,0.1871,4.91,13.0,1068.5761090179546,82.19816223215035
99,Abell 399,flat,,,153.2,18.8,8.2,204.3,22.4,0.74,0.12,28,4.19,1.0,0.0716,7.95,153.2,825.4118588780693,5.387805867350322
103,Abell 400,flat,,,162.8,3.9,41.6,35.3,5.7,1.76,0.28,70,0.71,1.0,0.024,2.31,162.8,762.5384777757347,4.6838972836347335
