ID,Len,Ng_5,Ng1,L0_5,L1_0,xlen,ylen,zlen,feed_proxy,density_proxy,ambient_resistance_proxy,smoothing_proxy,choke_F1,choke_F2,concentration_Ng,concentration_L,thickness_proxy
1,24.792,17,22,24.573,40.073,17.973,13.909,6.473,0.6857050661503711,0.9911665053242981,0.2017182962245886,24.792,0.027658319867310866,3.369292259650683,0.7727272727272727,0.6132058992338981,0.2610922878347854
2,45.271,21,25,30.948,36.407,14.513,38.659,11.606,0.46387311965717565,0.683616443197632,0.08837887389277904,45.271,0.010246584340022876,3.5880893044614526,0.84,0.8500563078528856,0.2563672107971991
3,22.224,20,28,5.859,8.988,6.292,10.461,17.612,0.8999280057595392,0.263633909287257,0.3600161987041036,22.224,0.04049352077751706,0.6590023979184028,0.7142857142857143,0.6518691588785047,0.28311735061195104
4,37.638,27,29,21.997,25.189,7.244,30.414,9.617,0.7173601147776184,0.5844359423986397,0.053164355172963494,37.638,0.019059464232361403,7.885942251256009,0.9310344827586207,0.87327801818254,0.192465061905521
5,16.22,18,25,7.339,11.018,1.796,15.406,3.319,1.1097410604192355,0.4524660912453761,0.4316276202219483,16.22,0.06841806784335608,1.1633180463386328,0.72,0.6660918497004901,0.11072749691738595
6,52.69,36,44,31.396,38.411,13.344,10.037,46.253,0.6832416018219777,0.5958625925223003,0.15185044600493453,52.69,0.012967196846118386,2.68104653553341,0.8181818181818182,0.8173700242118143,0.19049155437464416
7,27.615,24,27,22.299,25.219,8.816,13.466,18.134,0.8690928843020098,0.8074959261271049,0.1086728227412638,27.615,0.03147176839768277,6.457814804082146,0.8888888888888888,0.884214282881954,0.3192467861669383
8,34.688,41,48,54.401,64.594,22.913,7.649,22.261,1.1819649446494465,1.5682945110701108,0.20182772140221403,34.688,0.03407417391171144,9.184412934420017,0.8541666666666666,0.8421989658482213,0.2205085332103321
9,51.308,44,46,40.507,41.864,39.996,26.755,10.695,0.8575660715677867,0.7894870195680985,0.03899976611834412,51.308,0.016714081070550144,17.360034413291523,0.9565217391304348,0.9675855150009555,0.2084470258049427
10,15.592,8,13,3.416,6.073,11.928,3.154,7.725,0.513083632632119,0.2190867111339148,0.32074140584915345,15.592,0.03290685175937141,0.35046864408544653,0.6153846153846154,0.5624897085460233,0.2022832221652129
11,12.111,7,9,7.71,8.748,0.479,11.678,2.901,0.5779869540087523,0.6366113450582115,0.16522169928164476,12.111,0.047724131286330795,2.227026194606437,0.7777777777777778,0.8813443072702333,0.03955082156717034
12,30.869,20,25,19.444,26.319,5.888,26.5,11.121,0.6478991868865205,0.6298875894910752,0.16200719168097447,30.869,0.02098866781841072,2.5190465486545697,0.8,0.7387818686120293,0.19074152061939162
13,25.116,14,15,20.428,22.282,7.743,11.882,19.306,0.5574136008918618,0.8133460742156394,0.03985507246376811,25.116,0.022193565889945126,11.375469569449503,0.9333333333333333,0.9167938246117943,0.30828953655040614
14,40.98,28,31,41.244,44.399,9.723,4.467,35.422,0.6832601268911664,1.0064421669106882,0.07323084431429966,40.98,0.016673014321404746,9.390330114461603,0.9032258064516129,0.9289398409874096,0.10900439238653001
15,40.268,31,40,32.626,43.922,9.783,12.024,30.811,0.7698420582099931,0.8102215158438462,0.2235273666434886,40.268,0.01911796111577414,2.7904529486900604,0.775,0.7428168116206002,0.24294725340220522
16,19.727,15,21,16.441,27.182,2.378,14.423,11.344,0.7603791757489735,0.8334262685659248,0.3042023622446393,19.727,0.03854509939417922,2.083218468336756,0.7142857142857143,0.6048487969980134,0.12054544532873726
17,12.656,3,15,1.409,7.519,10.55,5.331,1.802,0.2370417193426043,0.11133059418457648,0.9482458912768646,12.656,0.018729592236299327,0.027830329352031453,0.2,0.18739194041760873,0.14238305941845764
18,21.638,13,18,12.722,17.242,3.678,18.277,6.077,0.6007948978648673,0.5879471300489878,0.23112117570940013,21.638,0.027765731484650488,1.528356866754017,0.7222222222222222,0.7378494374202528,0.169978741103614
19,12.153,6,13,12.487,26.447,6.085,6.848,7.558,0.4937052579609973,1.0274829260264955,0.5760717518308237,12.153,0.04062414695638914,0.8805738546149083,0.46153846153846156,0.4721518508715544,0.5006994157821114
20,22.391,16,18,4.142,5.475,3.182,11.206,17.801,0.7145728194363807,0.18498503863159307,0.08936626323076237,22.391,0.031913394642328646,1.4791407386834028,0.8888888888888888,0.7565296803652969,0.1421106694654102
21,43.776,38,42,28.157,30.707,7.886,27.198,29.1,0.8680555555555555,0.6432063230994152,0.09139711257309942,43.776,0.019829485461338527,6.108932836235384,0.9047619047619048,0.9169570456247761,0.18014437134502922
22,19.599,12,20,14.135,19.731,5.321,8.11,15.925,0.6122761365375784,0.7212102658298892,0.4082351140364304,19.599,0.03124017228111528,1.0816801887212437,0.6,0.7163853834068217,0.2714934435430379
23,43.136,46,54,45.479,53.232,17.541,4.945,35.963,1.0663946587537092,1.0543165801186942,0.18548312314540058,43.136,0.024721686265618256,6.061562640352448,0.8518518518518519,0.8543545235948302,0.11463742581602374
24,14.073,12,12,14.879,14.879,2.974,12.053,5.597,0.8526966531656363,1.0572727918709586,7.105805443046969e-05,14.073,0.06059096519332312,12687.273502451502,1.0,1.0,0.21132665387621688
25,25.648,18,20,17.778,18.836,7.76,10.985,20.483,0.7018091079226451,0.6931534622582657,0.07801777916406737,25.648,0.027363112442398824,6.235263528560112,0.9,0.9438309619876831,0.3025577043044292
