ID,GLON,GLAT,Dist,Rgc,Z,Mass,Mline,nH2,NH2,Tmin,Tmax,fA,fL,Lsumw,DGMF,Vgrad,Morph,feed_proxy,smoothing_proxy,density_proxy,ambient_resistance_proxy,choke_F1,choke_F2
1.0,5.37,0.13,2.9,5.4,25.1,4.6,364.1,5.8,1.8,10.8,18.0,7.03,3.02,10.0,0.2,0.41,"L,C",0.2,4.242640687119285,5.8,0.18083134527076072,0.047140452079103175,6.414817067600307
2.0,6.2,-0.12,3.0,5.4,12.0,5.8,521.4,6.6,2.3,16.1,26.0,7.06,5.73,7.8,0.32,0.91,X  ,0.32,5.0990195135927845,6.6,0.1973340812101459,0.0627571632442189,10.702662140509219
3.0,6.16,-0.61,3.0,5.4,-13.7,9.7,824.8,3.7,2.2,14.6,25.0,4.43,3.11,5.0,0.38,1.02,S  ,0.38,5.0,3.7,0.19511025378166455,0.076,7.206182006063941
5.0,8.16,0.22,3.0,5.4,29.8,11.1,820.0,7.9,3.1,11.2,29.5,10.15,5.27,8.3,0.46,0.54,"L,H",0.46,5.431390245600108,7.9,0.17525314463423367,0.08469286484664576,20.735719222524814
6.0,8.51,-0.64,3.0,5.4,-15.1,2.6,200.4,4.3,1.1,11.9,26.8,5.21,1.86,11.7,0.26,0.49,X  ,0.26,5.176871642217914,4.3,0.19329769650479847,0.05022338160360663,5.78382474398626
8.0,11.09,-0.1,2.9,5.5,13.8,20.0,801.2,5.7,2.6,10.5,15.8,5.99,3.84,13.2,0.32,0.65,S  ,0.32,3.9749213828703582,5.7,0.1894881913023355,0.08050473686826042,9.625929655372245
9.0,12.49,-0.21,2.6,5.9,9.9,8.3,496.1,6.7,2.2,10.0,18.5,9.75,5.04,12.2,0.2,0.24,S  ,0.2,4.301162633521313,6.7,0.1734763004571308,0.04649905549752772,7.724398067453247
11.0,13.2,0.04,2.6,5.9,21.5,14.7,923.7,10.2,3.8,10.5,26.8,7.42,3.66,10.4,0.38,1.29,"S,H",0.38,5.176871642217914,10.2,0.1605664153746434,0.0734034038821943,24.139543695711705
12.0,12.69,-0.16,4.8,3.8,1.4,36.2,2803.2,7.5,5.6,13.7,26.9,11.25,1.58,4.1,0.35,1.21,"X,H",0.35,5.186520991955976,7.5,0.3345236768704245,0.06748261513697366,7.84697820063952
13.0,13.21,-0.34,2.6,5.9,4.0,15.3,637.5,9.9,3.1,9.3,26.0,2.81,3.29,18.6,0.26,0.91,X  ,0.26,5.0990195135927845,9.9,0.18043567202907038,0.050990195135927854,14.26547184963125
14.0,14.0,-0.14,3.1,5.4,10.7,7.6,639.5,5.9,2.4,16.2,33.7,7.49,2.64,7.1,0.47,1.07,C  ,0.47,5.805170109479997,5.9,0.19905174236101458,0.08096231309957265,13.931051128257332
15.0,14.36,-0.14,3.1,5.4,10.8,42.5,830.3,6.1,2.8,10.1,29.2,4.63,2.69,27.3,0.43,0.76,X  ,0.43,5.403702434442518,6.1,0.19891908542333303,0.07957507009624257,13.186266136393186
16.0,14.72,-0.18,3.1,5.4,8.5,19.7,1058.4,6.7,3.3,8.5,27.5,4.11,2.29,9.2,0.33,0.8,"S,X",0.33,5.244044240850758,6.7,0.20199268208809604,0.0629285308902091,10.94594109620123
19.0,15.65,-0.22,11.6,4.2,-44.2,44.8,1088.6,3.3,2.3,16.6,20.9,17.49,7.44,14.1,0.19,0.07,C  ,0.19,4.571651780264984,3.3,0.22432336672508574,0.04156047072968168,2.7950721726123398
