Name,RAJ2000,DEJ2000,DM,DMeNE2001,DMeYMW16,DM_excess_extragalactic,ang_sep_to_nearest_PSZ2_deg,nearest_PSZ2_name
FRB20190131D,57.46,22.75,642.1,574.6,569.1,73.0,1.7824491083104432,PSZ2 G166.27-24.71
FRB20190131D,57.46,22.75,642.1,574.6,569.1,73.0,1.7824491083104432,PSZ2 G166.27-24.71
FRB20181117C,53.21,25.73,1776.0,1707.6,1705.2,70.79999999999995,2.1359523186817575,PSZ2 G163.22-26.48
FRB20190118B,39.71,23.57,666.4,620.7,627.3,39.10000000000002,3.8356627351032677,PSZ2 G157.07-33.63
FRB20190213A,31.72,20.08,650.2,608.0,616.6,33.60000000000002,3.648647334816614,PSZ2 G149.39-36.84
FRB20190515C,31.72,20.08,653.5,609.3,617.9,35.60000000000002,3.648647334816614,PSZ2 G149.39-36.84
FRB20181231A,29.71,20.96,1376.5,1333.7,1342.5,34.0,3.9508811350558495,PSZ2 G138.32-39.82
FRB20181203A,33.6,23.57,635.7,589.2,597.3,38.40000000000009,1.3318151783873746,PSZ2 G144.84-35.16
FRB20190129A,45.06,21.42,478.8,432.7,437.8,41.0,2.007251634007571,PSZ2 G157.07-33.63
FRB20181203B,47.31,24.02,373.6,318.7,321.5,52.10000000000002,2.307043141788761,PSZ2 G161.73-28.58
FRB20190125A,45.73,27.81,562.9,504.3,506.4,56.5,1.7113965106892886,PSZ2 G157.32-26.77
FRB20190403F,43.34,33.14,666.4,596.8,597.5,68.89999999999998,4.000460857655856,PSZ2 G147.14-20.56
FRB20190422A,48.56,35.15,452.9,372.8,367.0,85.89999999999998,5.5602779385000325,PSZ2 G150.64-14.21
FRB20190422A,48.56,35.15,452.9,372.8,367.0,85.89999999999998,5.5602779385000325,PSZ2 G150.64-14.21
FRB20190422A,48.56,35.15,452.9,372.8,367.0,85.89999999999998,5.5602779385000325,PSZ2 G150.64-14.21
FRB20190226A,58.83,31.93,600.1,510.3,494.4,105.70000000000005,2.3025178926619154,PSZ2 G164.85-16.55
FRB20190104A,70.5,35.59,548.3,397.9,346.9,201.39999999999998,9.719114785584532,PSZ2 G164.85-16.55
FRB20190104A,70.5,35.59,548.3,397.9,346.9,201.39999999999998,9.719114785584532,PSZ2 G164.85-16.55
FRB20181018C,67.15,37.57,409.2,265.0,220.7,188.5,8.976764444983138,PSZ2 G164.85-16.55
FRB20190529A,68.06,40.32,703.6,539.0,482.8,220.8,11.629585220038312,PSZ2 G164.85-16.55
FRB20190415C,74.81,34.8,648.6,481.7,413.8,234.8,12.649646490895185,PSZ2 G164.85-16.55
