ID,Name,RAJ2000,DEJ2000,zlambda,lambda,Ng,iLum,MWLc,e_MWLc,dist_to_5th_neighbor_Mpc,neighbor_density_knn,feed_proxy,lensing_tightness,ambient_smoothing_proxy,choke_L1,choke_L2,feed_times_tightness
1646,RMJ025932.5+001354.4,44.8855993,0.2317736,0.1949,37.01,66,36.518,3.583,0.419,66.88118562650843,3.3426284851782694e-06,37.01,3.583,3.3426284851782694e-06,39671423.42859793,1071910.927549255,132.60683
16234,RMJ025931.5+001942.0,44.8812398,0.3283459,0.3608,27.75,70,23.357,2.716,0.422,88.51511867646467,1.4419414694319882e-06,27.75,2.716,1.4419414694319882e-06,52269111.88682955,1883571.5995253893,75.369
9809,RMJ025459.3+011242.5,43.7469103,1.2117947,0.2324,27.11,51,21.533,2.682,0.384,67.04471289207187,3.318229301561402e-06,27.11,2.682,3.318229301561402e-06,21911993.83532252,808262.4063195323,72.70902
9527,RMJ025952.7+012731.3,44.9695419,1.4587031,0.1484,27.81,33,12.08,2.598,0.496,90.7790911883986,1.3367263472377924e-06,27.81,2.598,1.3367263472377924e-06,54050240.08788184,1943554.1203841008,72.25037999999999
10695,RMJ025402.4+011852.0,43.5098197,1.314432,0.2262,22.12,57,18.762,2.108,0.441,73.96412295067391,2.4713637061100677e-06,22.12,2.108,2.4713637061100677e-06,18867704.45188503,852970.3640092688,46.628960000000006
25197,RMJ025534.5+021409.2,43.8938504,2.2358962,0.2218,22.63,40,14.786,2.121,0.428,78.63568834152183,2.056557808368196e-06,22.63,2.121,2.056557808368196e-06,23339110.529591605,1031334.977003606,47.99823
21354,RMJ025712.9+024155.4,44.3036797,2.6987254,0.2946,25.59,63,20.276,2.526,0.397,124.07418594610942,5.235470256183772e-07,25.59,2.526,5.235470256183772e-07,123466158.40984167,4824781.493155204,64.64034
14583,RMJ025235.0+021639.6,43.1457405,2.2776803,0.1797,20.26,30,16.051,1.864,0.388,45.059118208168876,1.0930799659120195e-05,20.26,1.864,1.0930799659120195e-05,3454883.556345376,170527.32262316762,37.76464000000001
28954,RMJ024945.1+023459.7,42.4378778,2.5832529,0.1944,23.42,44,14.586,2.233,0.447,66.56727377472276,3.39014041851097e-06,23.42,2.233,3.39014041851097e-06,15426163.386757305,658674.78167196,52.29686000000001
4445,RMJ025706.7+030141.3,44.2779025,3.0281488,0.5015,82.08,68,40.45,7.083,1.035,177.1067406344698,1.8000921089530702e-07,82.08,7.083,1.8000921089530702e-07,3229682731.8360124,39347986.49897675,581.37264
5039,RMJ025913.9+032527.4,44.8079495,3.4242733,0.1796,27.22,42,16.396,2.701,0.385,65.2975426218933,3.5917780111745684e-06,27.22,2.701,3.5917780111745684e-06,20469310.67879593,751995.2490373229,73.52122
1627,RMJ025914.0+032956.0,44.808421,3.4988828,0.0912,51.08,68,35.268,4.887,0.549,178.10479233172083,1.7699996642075982e-07,51.08,4.887,1.7699996642075982e-07,1410327725.1849344,27610174.729540613,249.62795999999997
2781,RMJ025632.1+033345.3,44.133831,3.5625837,0.3272,58.67,114,34.342,5.438,0.509,121.99742456306049,5.507417653297342e-07,58.67,5.438,5.507417653297342e-07,579305002.9699188,9873956.075846579,319.04746
15918,RMJ030001.9+034859.0,45.0080188,3.8164011,0.1834,21.21,46,14.552,2.034,0.405,59.456880808078196,4.757662543592773e-06,21.21,2.034,4.757662543592773e-06,9067717.519835224,427520.8637357484,43.14114
6879,RMJ024813.0+023827.9,42.0540189,2.6410792,0.5438,86.24,68,43.674,7.31,1.309,156.215354351266,2.623184546183583e-07,86.24,7.31,2.623184546183583e-07,2403240751.4643865,27866891.830523964,630.4143999999999
37642,RMJ024750.2+024746.6,41.9593726,2.7962727,0.4609,30.97,53,18.588,2.576,0.607,107.99070987222834,7.940371319059186e-07,30.97,2.576,7.940371319059186e-07,100472278.68110904,3244180.777562449,79.77871999999999
32185,RMJ024640.7+025311.2,41.6695273,2.8864345,0.47,40.51,69,21.695,3.573,0.774,114.53448446536767,6.65566116083795e-07,40.51,3.573,6.65566116083795e-07,217472353.98891142,5368362.231274042,144.74222999999998
11758,RMJ024644.1+025959.5,41.6837546,2.999874,0.5098,49.66,63,27.096,4.116,1.007,126.52722651613044,4.936828434948279e-07,49.66,4.116,4.936828434948279e-07,414032131.5462958,8337336.519256864,204.40055999999996
13447,RMJ024727.2+031630.9,41.8634903,3.2752472,0.4459,62.18,88,38.116,5.548,0.788,87.04985954204842,1.5159880429020136e-06,62.18,5.548,1.5159880429020136e-06,227557625.94250062,3659659.4715744713,344.97464
13378,RMJ025329.4+033819.3,43.3724802,3.6386936,0.1786,27.3,49,17.889,2.665,0.446,45.77658198750702,1.042485238470685e-05,27.3,2.665,1.042485238470685e-05,6978947.740951239,255639.11139015525,72.75450000000001
2834,RMJ024534.0+032435.1,41.3915162,3.4097516,0.1462,33.03,43,24.367,3.246,0.402,90.26682976497496,1.3596133805283551e-06,33.03,3.246,1.3596133805283551e-06,78857255.69892183,2387443.405961908,107.21538000000001
10801,RMJ024702.6+035560.0,41.7607612,3.9333238,0.2631,37.62,75,26.673,3.57,0.483,90.79149639340149,1.3361784953105518e-06,37.62,3.57,1.3361784953105518e-06,100513068.0304696,2671798.7248928654,134.30339999999998
2081,RMJ024702.7+042320.0,41.7612316,4.3888917,0.1429,41.27,59,32.3,3.993,0.444,98.80202914698796,1.0368177127851638e-06,41.27,3.993,1.0368177127851638e-06,158939327.49019876,3851207.3537726863,164.79111
4885,RMJ025615.6+041029.0,44.0648473,4.1747298,0.1789,33.32,57,21.01,3.24,0.431,55.09103928179248,5.9807700379306216e-06,33.32,3.24,5.9807700379306216e-06,18050652.22627313,541736.261292711,107.9568
22022,RMJ024931.3+045226.7,42.3803774,4.8740966,0.2483,23.73,45,13.497,2.346,0.391,92.44150061100432,1.2658989498428833e-06,23.73,2.346,1.2658989498428833e-06,43977112.08063609,1853228.4905451366,55.67058
33922,RMJ024124.0+040041.3,40.3498667,4.0114699,0.2681,21.27,46,16.792,2.036,0.407,87.04079197667613,1.5164618811722356e-06,21.27,2.036,1.5164618811722356e-06,28557077.85185103,1342598.864685051,43.30572
11890,RMJ024628.4+042935.4,41.6184701,4.4931596,0.4215,48.55,65,30.729,4.471,0.607,93.09430745590828,1.239454599737362e-06,48.55,4.471,1.239454599737362e-06,175131102.05569133,3607231.762218153,217.06705
10194,RMJ024612.3+043748.0,41.5512745,4.6299897,0.4205,43.15,66,30.167,4.032,0.548,98.11518291888726,1.0587449368016774e-06,43.15,4.032,1.0587449368016774e-06,164327397.42356834,3808282.674937853,173.9808
26390,RMJ023752.9+050027.8,39.47043,5.0077271,0.4937,38.28,43,22.652,2.881,0.764,115.13047627028152,6.552832942941816e-07,38.28,2.881,6.552832942941816e-07,168300765.42511246,4396571.719569291,110.28468
30362,RMJ020212.9+123459.0,30.5538931,12.5830532,0.3538,22.73,56,14.789,2.169,0.445,84.88679745375069,1.6348561770265163e-06,22.73,2.169,1.6348561770265163e-06,30156395.830286153,1326722.2098674066,49.30137
20247,RMJ020154.1+123827.7,30.4752396,12.6410358,0.3893,36.27,69,27.14,3.441,0.482,49.973551541466826,8.012708702748536e-06,36.27,3.441,8.012708702748536e-06,15575890.080365596,429442.79240048514,124.80507
53405,RMJ015844.4+131542.8,29.6850438,13.2618954,0.5333,49.29,45,21.685,3.393,1.075,124.20942333872704,5.218387959690586e-07,49.29,3.393,5.218387959690586e-07,320483971.85462654,6502007.94998228,167.24096999999998
10929,RMJ015934.9+131619.6,29.8955028,13.2720975,0.4428,52.82,58,31.141,4.827,0.658,55.53734658765523,5.837738275002233e-06,52.82,4.827,5.837738275002233e-06,43674815.14061239,826861.3241312456,254.96214
34227,RMJ020058.8+132307.3,30.2449133,13.3853674,0.4661,51.73,54,30.37,4.155,1.028,80.91583405466905,1.8875543036124468e-06,51.73,4.155,1.8875543036124468e-06,113871240.46637821,2201261.1727504004,214.93815
4805,RMJ020002.3+133939.6,30.0096812,13.6610067,0.433,67.9,92,42.362,6.136,0.684,62.526383633502,4.090817142963252e-06,67.9,6.136,4.090817142963252e-06,101846253.55759703,1499944.8241177765,416.6344
15531,RMJ020137.2+135024.8,30.4048698,13.8402342,0.5294,57.93,50,31.142,3.867,1.22,137.00983646497912,3.8881656228590616e-07,57.93,3.867,3.8881656228590616e-07,576146521.8533468,9945563.98849209,224.01531
35541,RMJ020218.6+135408.3,30.5773326,13.9022923,0.4132,37.32,69,17.881,3.407,0.605,70.94142251849229,2.8009175313731255e-06,37.32,3.407,2.8009175313731255e-06,45395567.19389242,1216387.116663784,127.14924
23632,RMJ015600.6+135905.0,29.0025887,13.9847154,0.4462,41.53,57,21.934,3.72,0.681,71.30497969386587,2.7582931340591803e-06,41.53,3.72,2.7582931340591803e-06,56009855.5488357,1348660.1384260945,154.4916
7184,RMJ020130.3+143907.4,30.3763724,14.6520621,0.2465,41.18,82,21.627,3.89,0.494,56.335709442678805,5.593049932630899e-06,41.18,3.89,5.593049932630899e-06,28640938.652347878,695506.0381823186,160.1902
