ID,Name,RAJ2000,DEJ2000,zlambda,lambda,Ng,iLum,Y5R500,e_Y5R500,SNR,dist_to_5th_neighbor_Mpc,neighbor_density_knn,feed_proxy,lensing_tightness_tsz,ambient_smoothing_proxy,choke_L1_tsz,choke_L2_tsz
1127,RMJ020017.0+274821.2,30.0709698,27.8058965,0.5517,195.54,95,89.135,1.699678,0.624585,4.97616,774.976937683791,2.1484916197144805e-09,195.54,1.699678,2.1484916197144805e-09,154692265527.27612,791102922.8151587
489,RMJ010819.0+275802.1,17.0793565,27.9672619,0.2487,78.06,139,51.547,2.340162,1.17333,4.5185,384.57031198618506,1.7582180581474036e-08,78.06,2.340162,1.7582180581474036e-08,10389669522.134169,133098507.84184176
860,RMJ010415.0+293335.1,16.062299,29.5597456,0.3595,115.1,185,66.01,3.13855,1.303678,4.97826,293.3817119954977,3.96005196068267e-08,115.1,3.13855,3.96005196068267e-08,9122281944.445116,79255273.19239892
1276,RMJ011007.2+321048.7,17.5299813,32.1801885,0.3525,70.7,123,55.341,2.390831,1.128412,4.66561,337.73978296560426,2.595693084816391e-08,70.7,2.390831,2.595693084816391e-08,6512008399.173149,92107615.26411809
2497,RMJ010140.9+345028.5,15.4205347,34.8412599,0.2233,47.46,83,40.805,2.151088,0.704948,5.81978,352.10071708896425,2.2908638091069314e-08,47.46,2.151088,2.2908638091069314e-08,4456425391.773897,93898554.39894433
207,RMJ085754.0+031035.2,134.4751077,3.1764365,0.2009,90.91,132,65.506,2.55573,0.949442,5.95827,262.4251227435982,5.5332943417740524e-08,90.91,2.55573,5.5332943417740524e-08,4198970811.039632,46188217.03926556
448,RMJ084527.8+032738.9,131.3656953,3.4608064,0.3487,90.16,165,72.348,2.839246,1.208137,4.98865,417.22871818251963,1.3768208024744952e-08,90.16,2.839246,1.3768208024744952e-08,18592573477.966606,206217540.79377338
79,RMJ094201.1+085819.9,145.5046344,8.9722027,0.2089,104.76,152,62.235,4.570556,3.806776,5.07984,229.16134049278418,8.30952000944497e-08,104.76,4.570556,8.30952000944497e-08,5762203424.69555,55003850.942111015
5,RMJ090912.2+105824.9,137.3007446,10.9735949,0.1705,174.7,231,112.058,3.911501,0.940982,8.42995,211.17033421275858,1.0619431752417634e-07,174.7,3.911501,1.0619431752417634e-07,6434800285.282968,36833430.36796204
938,RMJ093645.4+123018.2,144.1892031,12.5050687,0.3168,85.4,143,46.758,1.313016,0.380853,5.81092,305.031044076124,3.52344807919868e-08,85.4,1.313016,3.52344807919868e-08,3182438448.915686,37265087.22383707
658,RMJ094257.4+143028.4,145.7392562,14.5078821,0.3543,82.27,146,65.545,2.115276,1.187309,4.77063,308.287424703585,3.412970782495165e-08,82.27,2.115276,3.412970782495165e-08,5098893826.239386,61977559.575050265
49,RMJ092415.4+140742.1,141.0641936,14.1283725,0.136,92.11,121,61.466,4.904376,1.34267,7.01676,251.3590928455698,6.296746348711874e-08,92.11,4.904376,6.296746348711874e-08,7174214242.446226,77887463.27701907
27,RMJ094951.8+170710.6,147.4658411,17.1195975,0.3832,185.38,298,126.327,2.250464,0.440062,9.82794,347.9040207772422,2.3747705584301767e-08,185.38,2.250464,2.3747705584301767e-08,17567634685.33907,94765533.95910598
329,RMJ092804.5+203145.1,142.0188805,20.529197,0.2082,93.04,143,72.839,3.823488,2.02953,4.8426,304.1465083434148,3.5542788302739986e-08,93.04,3.823488,3.5542788302739986e-08,10008706140.046314,107574227.64452186
2192,RMJ091111.5+174628.9,137.7979849,17.7747004,0.5213,130.74,98,66.444,1.37747,0.441526,5.58758,606.7343507535193,4.4771768477705765e-09,130.74,1.37747,4.4771768477705765e-09,40224104144.93155,307664862.6658371
4248,RMJ081107.4+164304.6,122.7806833,16.7179569,0.093,34.01,47,19.605,3.370131,1.426301,4.63239,287.43794087860147,4.21083012075071e-08,34.01,3.370131,4.21083012075071e-08,2721984787.39783,80034836.44215907
103,RMJ075100.8+173753.8,117.7531383,17.6316018,0.1839,112.27,167,74.911,5.810598,1.914718,5.28183,315.50872751243594,3.183947285286271e-08,112.27,5.810598,3.183947285286271e-08,20488901951.193775,182496677.21736684
388,RMJ074323.1+173341.9,115.8462624,17.5616385,0.1011,54.42,64,35.374,3.092429,1.054064,4.83866,290.27373029440116,4.088620462328527e-08,54.42,3.092429,4.088620462328527e-08,4116057915.636329,75635022.33804354
858,RMJ081327.4+220331.4,123.3641036,22.0587294,0.3829,99.53,168,65.665,1.236013,0.410597,5.86092,390.3127770603456,1.6817510015543635e-08,99.53,1.236013,1.6817510015543635e-08,7315017132.518312,73495600.64822981
224,RMJ082728.4+223245.7,126.8684565,22.5460272,0.3365,119.21,222,78.546,1.608518,0.466229,6.95545,362.7079522813956,2.0956983311301497e-08,119.21,1.608518,2.0956983311301497e-08,9149763013.677353,76753317.78942499
1062,RMJ081435.5+271915.7,123.6477564,27.3210206,0.2831,81.3,132,71.456,1.228145,0.421427,4.96606,356.75352209397255,2.202394894869403e-08,81.3,1.228145,2.202394894869403e-08,4533618777.114028,55764068.59918854
482,RMJ081305.4+292014.8,123.2725143,29.3374538,0.3604,97.24,168,65.893,1.011536,0.36412,4.6393,268.4221854073104,5.170645651228938e-08,97.24,1.011536,5.170645651228938e-08,1902310993.1468961,19563050.114632826
208,RMJ093049.7+285108.0,142.7069495,28.8522261,0.2991,105.81,164,75.764,1.785653,0.630789,6.26546,356.75352209397255,2.202394894869403e-08,105.81,1.785653,2.202394894869403e-08,8578840441.836555,81077785.10383286
2336,RMJ083434.8+265656.3,128.6450161,26.9489825,0.4587,81.71,97,50.926,2.207815,1.146069,4.9816,442.1067602842106,1.1572269327355636e-08,81.71,2.207815,1.1572269327355636e-08,15589039500.104952,190784965.12183276
31,RMJ084257.6+362159.3,130.7398189,36.36646,0.2965,139.98,210,78.972,7.444807,0.715703,18.86364,282.1161943562815,4.4536486231966106e-08,139.98,7.444807,4.4536486231966106e-08,23399333266.485096,167161975.0427568
54,RMJ085007.9+360413.7,132.5329844,36.0704592,0.372,160.11,255,110.743,3.082039,0.848283,7.22065,282.1161943562815,4.4536486231966106e-08,160.11,3.082039,4.4536486231966106e-08,11080022382.542942,69202563.12874237
363,RMJ100655.7+315934.9,151.7320863,31.9930185,0.3748,114.89,205,75.106,1.24176,0.391548,5.48132,474.53055171352105,9.358526262415177e-09,114.89,1.24176,9.358526262415177e-09,15244473584.795166,132687558.40190761
693,RMJ101017.3+324954.6,152.5722473,32.8318431,0.302,76.68,156,60.731,2.06332,0.729818,5.85427,398.68053710777355,1.5780650300696387e-08,76.68,2.06332,1.5780650300696387e-08,10025909869.697708,130749998.30070041
248,RMJ103144.3+350229.0,157.9347143,35.0413953,0.1254,68.33,88,48.035,1.933558,0.551067,6.72116,197.31837951817369,1.3016594615808215e-07,68.33,1.933558,1.3016594615808215e-07,1015012159.7821347,14854561.09735306
373,RMJ101622.9+333817.4,154.0952386,33.6381652,0.129,65.4,93,45.47,3.719381,0.867033,7.82347,214.76712440053802,1.0094773832553741e-07,65.4,3.719381,1.0094773832553741e-07,2409638110.1236033,36844619.4208502
424,RMJ110608.5+333339.7,166.5353534,33.5610237,0.4973,167.24,147,99.736,1.996677,0.744262,5.10765,580.4565623908684,5.113176961957701e-09,167.24,1.996677,5.113176961957701e-09,65306611518.51651,390496361.6271018
37,RMJ113613.0+400235.8,174.0543538,40.0432723,0.2946,155.13,278,118.396,2.244298,1.209427,5.60437,354.1202539306928,2.2518927312853146e-08,155.13,2.244298,2.2518927312853146e-08,15460680870.94369,99662740.09504087
