event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho
GW230627_015337,8.4,5.74,13.57,0.02,0.6735567893393262,9.317134721841908,13.164447966231375,-0.02988592732266952,8.734774604884584e+16
GW231224_024321,9.3,7.31,15.89,-0.01,0.6754331566862944,11.155435902890687,15.493476987974601,-0.024954248711478888,5.021284594830413e+16
GW230630_234532,10.0,6.6,16.1,-0.04,0.6499695968133765,11.164017582024062,15.504283167373508,-0.03700104550475114,4.663414174988369e+16
GW230904_051013,10.6,7.1,17.1,0.05,0.6814873155729035,11.995045871545148,16.54811145631451,-0.032274183841256895,4.113779260725566e+16
GW230731_215307,10.3,7.9,17.4,-0.05,0.6610308947626086,12.361484898320477,17.006812985613845,-0.022596954849778954,3.652035788237302e+16
GW231223_075055,11.9,6.8,18.1,0.07,0.6700482009397655,12.779022034720192,17.52837423215974,-0.03158153413482098,3.383349286142211e+16
GW231018_233037,11.6,7.3,18.2,0.01,0.6612708409665188,12.917008383551018,17.7004879709676,-0.02744571588090104,3.2381805617069028e+16
GW231113_200417,11.6,7.4,18.3,0.13,0.7033535821521902,12.991522200248465,17.793380321039592,-0.0276841354623174,3.4976835922493936e+16
GW231223_202619,11.1,8.3,18.7,0.1,0.7069105342740347,13.278953908087988,18.151379396236756,-0.02933800020124297,3.3236967782529896e+16
GW231020_142947,12.0,7.4,18.8,0.14,0.7033043282267648,13.302404079622129,18.18056423688258,-0.03294871080411804,3.2727740631744868e+16
GW230729_082317,12.3,7.6,19.3,0.12,0.6966852473390213,13.685441605386366,18.656801159476117,-0.03332636479398359,2.9927543915671036e+16
GW231118_090602,12.9,7.4,19.6,0.08,0.6740882083946085,14.004952676246738,19.053391072889085,-0.027888210566883512,2.6943740411820704e+16
GW231104_133418,12.2,8.6,20.0,0.14,0.7154414563133452,14.359428178078474,19.49269762646592,-0.025365118676704056,2.76957728722022e+16
GW230723_101834,16.6,10.6,26.4,-0.18,0.5984924820448827,19.359738110997625,25.624467021472096,-0.02937624918666297,1.0908557431638798e+16
GW230706_104333,16.3,11.5,26.6,0.19,0.731669736006576,19.816075836099834,26.178867955153592,-0.015832031761143207,1.301488136673821e+16
GW230605_065343,17.4,11.0,27.3,0.06,0.6787680936190256,20.308029892349793,26.775699504284304,-0.019205146363212317,1.1063083648085716e+16
GW231118_005626,20.0,10.8,29.4,0.38,0.7747556478220603,22.246917287104747,29.119962341522324,-0.009525090424410689,1.0950582980826604e+16
GW231114_043211,22.8,8.2,30.1,0.08,0.596142852997711,22.539589058363376,29.47278211190093,-0.020837803591331278,7664142246626768.0
GW231110_040320,19.4,12.6,30.6,0.17,0.7184460492202069,23.159883144695733,30.219701708987476,-0.012428048725899537,8782525880207567.0
GW231014_040532,20.6,14.7,33.8,0.18,0.7292515378012752,25.78193279274406,33.365023984737434,-0.012869112877590636,7034366428774539.0
GW230927_153832,21.7,16.6,36.5,0.03,0.6862487066271388,28.185164090149023,36.23245452578217,-0.0073300129922694015,5268430708700060.0
GW231231_154016,22.5,17.2,38.1,-0.03,0.6671423243438511,29.316383585362328,37.57757898282516,-0.013711837721124474,4705832183981851.0
GW231108_125142,23.2,17.4,38.9,-0.08,0.6496575948455914,30.047987675627326,38.44605900546018,-0.01166943430693626,4322432193360618.5
GW230624_113103,27.1,16.1,41.7,0.17,0.7097029002572898,32.21342946868137,41.01028120772722,-0.016540018999347365,4130484529308535.0
GW230712_090405,32.0,12.5,44.0,-0.02,0.5687638551833223,33.43927864198777,42.457908524676526,-0.03504753353007895,3148805442662537.0
GW240109_050431,28.7,18.1,45.2,-0.07,0.6342929009659726,35.13651197139019,44.45778140978831,-0.01642076527017018,3012612344811302.0
GW230919_215712,27.3,21.4,46.5,0.18,0.7349639842959805,36.645526560767564,46.23180284848169,-0.005767680677813074,3215208823292580.0
GW231005_091549,28.8,21.2,48.0,-0.03,0.6641252920138009,37.723938776370886,47.497375787024744,-0.010471337770317835,2674863085493443.0
GW230708_053705,29.1,22.7,49.4,0.06,0.6970146197808593,39.19387241637969,49.219573387903466,-0.003652360568755715,2570146590848559.0
GW230924_124453,28.8,23.2,49.4,0.02,0.6863689413688516,39.35351199996325,49.406418145831616,0.00012992198039710607,2483953834182575.0
GW230704_021211,32.6,20.0,50.7,-0.01,0.6512900806688403,39.91223070041906,50.06006338926216,-0.012622023880430794,2325800122680617.0
GW230805_034249,32.2,22.6,52.4,0.06,0.6891225116554882,41.6908372972932,52.1379523038576,-0.005000910231725116,2218480278646313.0
GW230911_195324,33.9,21.6,53.1,-0.02,0.652570230469455,42.296777791348795,52.844875721134926,-0.0048046003552744895,2025441688875719.8
GW230920_071124,32.4,23.8,53.8,0.0,0.6735940573957931,42.838379828818425,53.476330909983076,-0.006016154089533844,2040512794581155.5
GW230811_032116,35.4,22.3,55.3,0.03,0.6681878451233262,44.12358092732516,54.97324932342496,-0.005908692162297257,1895764012889331.0
GW230930_110730,34.5,24.4,56.3,0.02,0.676790325371004,45.085917979945776,56.09277289213236,-0.003680765681485577,1825939665877239.2
GW230628_231200,32.5,27.0,56.4,-0.01,0.67866365696036,45.55237577130853,56.63501814024395,0.004166988302197726,1762593924824804.8
GW230702_185453,40.0,18.0,57.0,0.05,0.6256621176990206,44.51669798796553,55.43071415743489,-0.027531330571317687,1810433721510407.5
GW230609_064958,35.4,25.2,58.0,-0.14,0.625287504320236,46.49707127722817,57.73241499739748,-0.004613534527629708,1582236097152108.5
GW230814_230901,33.7,28.2,59.0,-0.01,0.6790245557926518,47.5469034633338,58.950734910203266,-0.0008350015219785376,1621991879821083.0
