event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,M_rd,M_outside_choke,R_out_km,rs_km,dM,frac_out
GW230627_015337,8.4,5.74,13.57,0.02,0.6735567893393262,9.317134721841908,13.164447966231377,-0.0298859273226695,8.734774604884584e+16,9.467031764099703,4.128791221802522,143.4932274515368,40.08588498418422,0.30235580220341174,0.30425874884322196
GW231224_024321,9.3,7.31,15.89,-0.01,0.6754331566862944,11.155435902890687,15.4934769879746,-0.0249542487114788,5.021284594830413e+16,11.450929394193569,4.51378629177241,143.04622135619522,46.939182932843565,0.27936253025842867,0.28406458727327943
GW230630_234532,10.0,6.6,16.1,-0.04,0.6499695968133765,11.164017582024062,15.504283167373508,-0.0370010455047511,4.663414174988369e+16,11.460348395684157,4.703842914888462,145.93355694366753,47.55952455750669,0.2881771182804872,0.29216415620425223
GW230904_051013,10.6,7.1,17.1,0.05,0.6814873155729035,11.995045871545148,16.54811145631451,-0.0322741838412568,4.113779260725566e+16,12.38042062842736,4.818986221313527,145.22913697680627,50.51353229399779,0.2759987936592187,0.28181205972593726
GW230731_215307,10.3,7.9,17.4,-0.05,0.6610308947626086,12.361484898320477,17.006812985613845,-0.0225969548497789,3.652035788237302e+16,12.79145523945188,4.73566574455164,143.0844704782056,51.39973461494512,0.26485889428437465,0.27216469796273796
GW231223_075055,11.9,6.8,18.1,0.07,0.6700482009397655,12.779022034720192,17.52837423215974,-0.0315815341348209,3.383349286142211e+16,13.26413391537704,4.9736516366619945,145.50138889988543,53.46754003048889,0.26717492180237357,0.27478738324099417
GW231018_233037,11.6,7.3,18.2,0.01,0.6612708409665188,12.917008383551018,17.7004879709676,-0.027445715880901,3.2381805617069028e+16,13.421407173438253,4.929451456074402,144.57276598879764,53.76294080413799,0.2625600454154806,0.2708489811029891
GW231113_200417,11.6,7.4,18.3,0.13,0.7033535821521902,12.991522200248465,17.793380321039592,-0.0276841354623174,3.4976835922493936e+16,13.506563328733563,4.948286641168934,144.67412262951368,54.05834157778712,0.26193643012384904,0.2703981771130565
GW231223_202619,11.1,8.3,18.7,0.1,0.7069105342740347,13.278953908087988,18.15137939623676,-0.0293380002012429,3.3236967782529896e+16,13.83658084836987,5.033409166596917,145.2481734887737,55.23994467238355,0.26007589046150426,0.26916626559341805
GW231020_142947,12.0,7.4,18.8,0.14,0.7033043282267648,13.302404079622129,18.18056423688258,-0.032948710804118,3.2727740631744868e+16,13.863615126206698,5.10262559296023,146.1471260420976,55.535345446032665,0.2625736634996438,0.27141625494469307
GW230729_082317,12.3,7.6,19.3,0.12,0.6966852473390213,13.685441605386366,18.65680115947612,-0.0333263647939835,2.992754391567104e+16,14.30762963683909,5.183221656993945,146.47621585009546,57.01234931427821,0.25867203954201606,0.2685607076162666
GW231118_090602,12.9,7.4,19.6,0.08,0.6740882083946085,14.004952676246738,19.053391072889085,-0.0278882105668835,2.6943740411820704e+16,14.681656800281806,5.14141890843855,145.3360035821959,57.89855163522554,0.25093587753664265,0.26231729124686476
GW231104_133418,12.2,8.6,20.0,0.14,0.7154414563133452,14.359428178078474,19.49269762646592,-0.025365118676704,2.76957728722022e+16,15.100736187834283,5.155648072625117,144.93534363246482,59.080154729821984,0.24496319060828586,0.2577824036312558
GW230723_101834,16.6,10.6,26.4,-0.18,0.5984924820448827,19.359738110997625,25.624467021472096,-0.0293762491866629,1.0908557431638798e+16,21.686968892662513,5.847469742725253,149.42759400945295,77.98580424336501,0.17852390558096537,0.22149506601232022
GW230706_104333,16.3,11.5,26.6,0.19,0.731669736006576,19.816075836099834,26.178867955153592,-0.0158320317611432,1.301488136673821e+16,22.382956814392063,5.5638909315718665,146.2714281509622,78.57660579066325,0.15853545810556158,0.20916883201397993
GW230605_065343,17.4,11.0,27.3,0.06,0.6787680936190256,20.308029892349797,26.775699504284304,-0.0192051463632123,1.1063083648085716e+16,23.161552962348672,5.666745618923459,147.5001887231587,80.64441120620701,0.15159146658063474,0.2075730995942659
GW231118_005626,20.0,10.8,29.4,0.38,0.7747556478220603,22.246917287104747,29.119962341522324,-0.0095250904244106,1.0950582980826604e+16,26.526748648675497,5.480235434748189,146.40294318356078,86.8478274528383,0.09772963780015312,0.18640256580776154
GW231114_043211,22.8,8.2,30.1,0.08,0.596142852997711,22.539589058363376,29.47278211190093,-0.0208378035913312,7664142246626768.0,27.08752331045585,5.757640815892036,149.5825514865964,88.91563286838209,0.10008228204465618,0.19128374803628026
GW231110_040320,19.4,12.6,30.6,0.17,0.7184460492202069,23.159883144695733,30.21970170898748,-0.0124280487258995,8782525880207566.0,28.25393028691033,5.543049251659249,147.83622516156163,90.39263673662764,0.07666894487221151,0.1811454003810212
GW231014_040532,20.6,14.7,33.8,0.18,0.7292515378012752,25.78193279274406,33.365023984737434,-0.0128691128775906,7034366428774539.0,33.76714971359086,5.430646442789754,149.90966522207214,99.84546149339914,0.0009719019647673442,0.16067001310028858
