event,m1,m2,Mf,chi_eff,chi_f,Cf,pred,dev,rho,Mheld,Rmax_km,rs_km,rplus_km,ratio,ratio_kerr
GW230627_015337,8.4,5.74,13.57,0.02,0.6735567893393262,9.317134721841908,13.164447966231377,-0.0298859273226695,8.734774604884584e+16,4.252865278158092,116.17105589218323,40.08588498418421,34.85739232672253,2.8980539144394153,3.332752341405747
GW231224_024321,9.3,7.31,15.89,-0.01,0.6754331566862944,11.155435902890687,15.4934769879746,-0.0249542487114788,5.021284594830413e+16,4.734564097109313,120.43833334088062,46.939182932843565,40.776566161193315,2.5658378739398415,2.953616370362757
GW230630_234532,10.0,6.6,16.1,-0.04,0.6499695968133765,11.164017582024062,15.504283167373508,-0.0370010455047511,4.663414174988369e+16,4.935982417975939,122.10106558755653,47.55952455750669,41.851435451961564,2.567331501388703,2.9174881164520174
GW230904_051013,10.6,7.1,17.1,0.05,0.6814873155729035,11.995045871545148,16.54811145631451,-0.0322741838412568,4.113779260725566e+16,5.104954128454853,123.49899815113302,50.5135322939978,43.74042341498559,2.4448695734114723,2.8234522784436953
GW230731_215307,10.3,7.9,17.4,-0.05,0.6610308947626086,12.361484898320477,17.006812985613845,-0.0225969548497789,3.652035788237302e+16,5.038515101679522,122.98467163085697,51.39973461494512,44.98398594522903,2.3927102455330114,2.7339656334722964
GW231223_075055,11.9,6.8,18.1,0.07,0.6700482009397655,12.779022034720192,17.52837423215974,-0.0315815341348209,3.383349286142211e+16,5.320977965279809,125.22913262174285,53.46754003048889,46.578717816494326,2.342152501318243,2.688548300429967
GW231018_233037,11.6,7.3,18.2,0.01,0.6612708409665188,12.917008383551018,17.7004879709676,-0.027445715880901,3.2381805617069028e+16,5.282991616448982,124.94052331108422,53.76294080413801,47.04653110962405,2.323915348422827,2.65567982089812
GW231113_200417,11.6,7.4,18.3,0.13,0.7033535821521902,12.991522200248465,17.793380321039592,-0.0276841354623174,3.4976835922493936e+16,5.308477799751536,125.14164966299688,54.05834157778712,46.242590979895816,2.3149368998478175,2.7061989177337145
GW231223_202619,11.1,8.3,18.7,0.1,0.7069105342740347,13.278953908087988,18.15137939623676,-0.0293380002012429,3.3236967782529896e+16,5.421046091912011,126.02054603673413,55.23994467238355,47.1556609016771,2.2813300553455544,2.6724372774563783
GW231020_142947,12.0,7.4,18.8,0.14,0.7033043282267648,13.302404079622129,18.18056423688258,-0.032948710804118,3.2727740631744868e+16,5.497595920377872,126.60390538968377,55.535345446032665,47.50740291866113,2.2796996106328913,2.6649300448278805
GW230729_082317,12.3,7.6,19.3,0.12,0.6966852473390213,13.685441605386366,18.65680115947612,-0.0333263647939835,2.992754391567104e+16,5.614558394613635,127.49968802159276,57.01234931427821,48.955846846751776,2.2363521159031006,2.6043812176451477
GW231118_090602,12.9,7.4,19.6,0.08,0.6740882083946085,14.004952676246738,19.053391072889085,-0.0278882105668835,2.6943740411820704e+16,5.595047323753263,127.36739854045726,57.89855163522555,50.332683185454385,2.1998373870023853,2.5305108029143395
GW231104_133418,12.2,8.6,20.0,0.14,0.7154414563133452,14.359428178078474,19.49269762646592,-0.025365118676704,2.76957728722022e+16,5.640571821921526,127.72205749440822,59.080154729821984,50.17892257110232,2.161843652551197,2.5453328001100295
GW230723_101834,16.6,10.6,26.4,-0.18,0.5984924820448827,19.359738110997625,25.624467021472096,-0.0293762491866629,1.0908557431638798e+16,7.040261889002373,137.56866457771065,77.98580424336501,70.2312242773499,1.764021874396646,1.9587963330161908
GW230706_104333,16.3,11.5,26.6,0.19,0.731669736006576,19.816075836099834,26.178867955153592,-0.0158320317611432,1.301488136673821e+16,6.783924163900167,135.9216110646305,78.57660579066324,66.06953983378588,1.7297974339428799,2.057250760434757
GW230605_065343,17.4,11.0,27.3,0.06,0.6787680936190256,20.308029892349797,26.775699504284304,-0.0192051463632123,1.1063083648085716e+16,6.991970107650204,137.29287699765527,80.64441120620701,69.93292580319478,1.702447509308471,1.963207965644464
GW231118_005626,20.0,10.8,29.4,0.38,0.7747556478220603,22.246917287104747,29.119962341522324,-0.0095250904244106,1.0950582980826604e+16,7.153082712895252,138.39227495136006,86.8478274528383,70.87915102331307,1.5935030156800685,1.9525103355970086
GW231114_043211,22.8,8.2,30.1,0.08,0.596142852997711,22.539589058363376,29.47278211190093,-0.0208378035913312,7664142246626768.0,7.560410941636626,140.9370814343363,88.91563286838208,80.15203623036284,1.5850652679148032,1.7583718151498084
GW231110_040320,19.4,12.6,30.6,0.17,0.7184460492202069,23.159883144695733,30.21970170898748,-0.0124280487258995,8782525880207566.0,7.440116855304268,140.21986594999632,90.39263673662764,76.63409493839053,1.5512310627529067,1.8297321324499902
GW231014_040532,20.6,14.7,33.8,0.18,0.7292515378012752,25.78193279274406,33.365023984737434,-0.0128691128775906,7034366428774539.0,8.018067207255939,143.78788132039904,99.84546149339916,84.08214519963411,1.440104328927409,1.7100881641281525
GW230927_153832,21.7,16.6,36.5,0.03,0.6862487066271388,28.185164090149023,36.23245452578217,-0.0073300129922694,5268430708700060.0,8.314835909850977,145.5874749802719,107.8212823819251,93.12346105840919,1.3502665871156234,1.5633812717608946
GW231231_154016,22.5,17.2,38.1,-0.03,0.6671423243438511,29.316383585362328,37.57757898282516,-0.0137118377211244,4705832183981851.0,8.783616414637674,148.25929387643436,112.54769476031088,98.19394015272817,1.3173019153539955,1.5098619491776772
GW231108_125142,23.2,17.4,38.9,-0.08,0.6496575948455914,30.04798767562733,38.44605900546018,-0.0116694343069362,4322432193360618.5,8.85201232437267,148.6587936173931,114.91090094950374,101.13463212154763,1.2936874777678358,1.4699098666689077
GW230624_113103,27.1,16.1,41.7,0.17,0.7097029002572898,32.21342946868137,41.01028120772722,-0.0165400189993473,4130484529308535.0,9.486570531318634,152.12969190700176,123.18212261167885,104.98203146031723,1.2349981367554255,1.4491021919737392
GW230712_090405,32.0,12.5,44.0,-0.02,0.5687638551833223,33.43927864198777,42.457908524676526,-0.0350475335300789,3148805442662537.0,10.56072135801223,157.60040677956047,129.97634040560834,118.44099657179896,1.2125314983307545,1.3306237818087174
GW240109_050431,28.7,18.1,45.2,-0.07,0.6342929009659726,35.13651197139019,44.45778140978831,-0.0164207652701701,3012612344811302.0,10.063488028609811,155.18063946473427,133.52114968939767,118.37269623782156,1.1622176698277522,1.3109496057516692
GW230919_215712,27.3,21.4,46.5,0.18,0.7349639842959805,36.64552656076757,46.23180284848169,-0.005767680677813,3215208823292580.0,9.854473439232429,154.1636182416906,137.3613597468361,115.25347083206489,1.1223215795608164,1.3376049947018207
GW231005_091549,28.8,21.2,48.0,-0.03,0.6641252920138009,37.723938776370886,47.49737578702474,-0.0104713377703178,2674863085493443.0,10.276061223629114,156.3176557041261,141.79237135157274,123.89968362071994,1.102440520700074,1.26164693190536
GW230708_053705,29.1,22.7,49.4,0.06,0.6970146197808593,39.19387241637969,49.219573387903466,-0.0036523605687557,2570146590848559.0,10.206127583620308,156.01107499362766,145.9279821826603,125.2833254728939,1.0690963628781367,1.2452660751520517
GW230924_124453,28.8,23.2,49.4,0.02,0.6863689413688516,39.35351199996325,49.406418145831616,0.0001299219803971,2483953834182575.0,10.046488000036746,155.21545258004176,145.9279821826603,126.02731014335016,1.0636442048911237,1.2316017250823765
GW230704_021211,32.6,20.0,50.7,-0.01,0.6512900806688403,39.91223070041906,50.06006338926216,-0.0126220238804307,2325800122680617.0,10.787769299580944,158.87885784400345,149.76819224009873,131.70830901886035,1.060831779215837,1.2062933540605425
GW230805_034249,32.2,22.6,52.4,0.06,0.6891225116554882,41.6908372972932,52.1379523038576,-0.0050009102317251,2218480278646312.8,10.709162702706799,158.5486900197883,154.7900053921336,133.47889309843748,1.0242824762369684,1.187818435854592
GW230911_195324,33.9,21.6,53.1,-0.02,0.652570230469455,42.2967777913488,52.844875721134926,-0.0048046003552744,2025441688875720.0,10.8032222086512,159.0180451144098,156.85781080767734,137.8567023062862,1.0137719269165444,1.15350245910502
GW230920_071124,32.4,23.8,53.8,0.0,0.6735940573957931,42.838379828818425,53.47633090998308,-0.0060161540895338,2040512794581155.5,10.961620171181572,159.78933984770882,158.92561622322108,138.19388977769364,1.005434766559436,1.156269210634094
GW230811_032116,35.4,22.3,55.3,0.03,0.6681878451233262,44.12358092732516,54.97324932342496,-0.0059086921622972,1895764012889331.2,11.17641907267484,160.8381739506383,163.35662782795777,142.44637585746656,0.9845830933779324,1.1291138365750686
GW230930_110730,34.5,24.4,56.3,0.02,0.676790325371004,45.085917979945776,56.09277289213236,-0.0036807656814855,1825939665877239.2,11.21408202005422,161.04023127205107,166.31063556444886,144.37225302805842,0.9683098782317178,1.1154513966111845
