z,target_1plusz,S_timing__matter (1+z)^3,S_timing__radiation (1+z)^4,S_timing__exp(lookback/t_H),ratio__matter (1+z)^3,ratio__radiation (1+z)^4,ratio__exp(lookback/t_H)
0.1000,1.100000,0.866784,0.826446,0.954538,0.787986,0.751315,0.867762
0.2000,1.200000,0.760726,0.694444,0.916801,0.633938,0.578704,0.764001
0.3000,1.300000,0.674660,0.591716,0.885171,0.518969,0.455166,0.680900
0.4000,1.400000,0.603682,0.510204,0.858428,0.431201,0.364431,0.613163
0.5000,1.500000,0.544331,0.444444,0.835642,0.362887,0.296296,0.557095
0.6000,1.600000,0.494106,0.390625,0.816085,0.308816,0.244141,0.510053
0.7000,1.700000,0.451156,0.346021,0.799186,0.265386,0.203542,0.470110
0.8000,1.800000,0.414087,0.308642,0.784492,0.230048,0.171468,0.435829
0.9000,1.900000,0.381830,0.277008,0.771640,0.200963,0.145794,0.406126
1.0000,2.000000,0.353553,0.250000,0.760334,0.176777,0.125000,0.380167
1.1000,2.100000,0.328603,0.226757,0.750337,0.156477,0.107980,0.357303
1.2000,2.200000,0.306454,0.206612,0.741454,0.139297,0.093914,0.337025
1.3000,2.300000,0.286687,0.189036,0.733524,0.124647,0.082190,0.318923
1.4000,2.400000,0.268957,0.173611,0.726413,0.112065,0.072338,0.302672
1.5000,2.500000,0.252982,0.160000,0.720011,0.101193,0.064000,0.288004
