gal,lamR,FS,logsig,logML_JAM,q,logL,fDM,logML_star,A,logMs,slow,logML_Salp,C,logMs_pop,BV
NGC0474,0.213,F,2.16,0.618,1.0,10.314,0.0,0.62,-0.002,10.934,0.0,0.724,-0.10599999999999998,11.038,0.8199999928474426
NGC0502,0.234,F,1.989,0.465,1.0,9.952,0.0,0.466,-0.001,10.418,0.0,0.725,-0.25999999999999995,10.677,0.9100000262260437
NGC0661,0.139,S,2.251,0.958,1.0,9.974,0.08,0.929,0.0289999999999999,10.903,1.0,0.754,0.20399999999999996,10.728,0.8799999952316284
NGC0680,0.406,F,2.262,0.75,1.0,10.276,0.08,0.713,0.037,10.989,0.0,0.739,0.01100000000000001,11.015,0.9100000262260437
NGC0821,0.273,F,2.254,0.822,2.0,10.273,0.18,0.734,0.0879999999999999,11.007,0.0,0.773,0.04899999999999993,11.046,0.9300000071525574
NGC0936,0.657,F,2.225,0.719,2.0,10.594,0.38,0.504,0.2149999999999999,11.098,0.0,0.824,-0.10499999999999998,11.418,0.949999988079071
NGC1023,0.391,F,2.222,0.532,3.0,10.287,0.0,0.531,0.001,10.818,0.0,0.827,-0.29499999999999993,11.114,0.9300000071525574
NGC1248,0.535,F,1.906,0.324,2.0,9.894,0.0,0.326,-0.002,10.22,0.0,0.488,-0.16399999999999998,10.382,0.7900000214576721
NGC1289,0.178,S,2.095,0.634,1.0,10.083,0.14,0.577,0.057,10.66,1.0,0.578,0.05600000000000005,10.661,0.8500000238418579
NGC2549,0.572,F,2.152,0.782,3.0,9.653,0.17,0.666,0.1159999999999999,10.319,0.0,0.71,0.07200000000000006,10.363,0.9300000071525574
NGC2577,0.696,F,2.293,0.874,3.0,10.047,0.06,0.843,0.031,10.89,0.0,0.79,0.08399999999999996,10.837,0.949999988079071
NGC2685,0.691,F,2.019,0.455,3.0,9.857,0.18,0.327,0.128,10.184,0.0,0.62,-0.16499999999999998,10.476999999999999,0.8199999928474426
NGC2695,0.575,F,2.257,0.736,2.0,10.199,0.11,0.672,0.0639999999999999,10.871,0.0,0.795,-0.05900000000000005,10.994,0.9200000166893005
NGC2764,0.658,F,2.029,0.648,2.0,9.989,0.0,0.649,-0.001,10.638000000000002,0.0,0.154,0.494,10.143,0.699999988079071
NGC2768,0.253,F,2.297,0.933,1.0,10.601,0.0,0.933,0.0,11.534,0.0,0.772,0.16100000000000003,11.373000000000001,0.9200000166893005
NGC2778,0.572,F,2.121,0.855,2.0,9.642,0.04,0.842,0.013,10.484,0.0,0.768,0.08699999999999997,10.41,0.9100000262260437
NGC2859,0.359,F,2.212,0.568,2.0,10.404,0.06,0.546,0.0219999999999999,10.95,0.0,0.732,-0.16400000000000003,11.136,0.9100000262260437
NGC2880,0.581,F,2.121,0.68,1.0,9.936,0.25,0.58,0.1,10.516,0.0,0.675,0.0050000000000000044,10.611,0.8799999952316284
NGC2950,0.436,F,2.193,0.588,1.0,9.887,0.11,0.539,0.0489999999999999,10.426,0.0,0.661,-0.07300000000000006,10.548,0.8799999952316284
NGC2962,0.43,F,2.162,0.814,1.0,10.284,0.0,0.813,0.001,11.097,0.0,0.782,0.03199999999999992,11.066,0.9900000095367432
NGC2974,0.663,F,2.355,0.981,3.0,10.152,0.07,0.95,0.031,11.102,0.0,0.787,0.19399999999999995,10.939,0.949999988079071
NGC3156,0.648,F,1.837,0.382,1.0,9.69,0.23,0.245,0.137,9.935,0.0,0.132,0.25,9.822,0.75
NGC3193,0.195,F,2.252,0.558,2.0,10.595,0.08,0.532,0.026,11.127,0.0,0.794,-0.236,11.389000000000001,0.9200000166893005
NGC3226,0.251,F,2.183,0.873,2.0,10.12,0.0,0.873,0.0,10.993,0.0,0.784,0.08899999999999997,10.904,0.8799999952316284
NGC3245,0.626,F,2.248,0.637,3.0,10.173,0.11,0.588,0.049,10.761,0.0,0.727,-0.08999999999999997,10.9,0.8899999856948853
NGC3301,0.603,F,2.045,0.402,3.0,10.078,0.21,0.297,0.105,10.375,0.0,0.448,-0.045999999999999985,10.526,0.7799999713897705
NGC3377,0.522,F,2.108,0.58,1.0,9.888,0.06,0.553,0.0269999999999999,10.441,0.0,0.731,-0.15100000000000002,10.619,0.6000000238418579
NGC3379,0.157,F,2.269,0.706,3.0,10.209,0.33,0.6,0.1059999999999999,10.809,0.0,0.838,-0.132,11.046999999999999,0.9399999976158142
NGC3384,0.407,F,2.14,0.473,3.0,10.091,0.22,0.404,0.0689999999999999,10.495,0.0,0.724,-0.251,10.815,0.9100000262260437
