gal,lamR,FS,logsig,logML_JAM,q,logL,fDM,logML_star,A,logMs,slow
IC0560,0.691,F,1.879,0.486,2.0,9.566,0.12,0.429,0.056999999999999995,9.995000000000001,0.0
IC0598,0.736,F,1.996,0.439,2.0,9.828,0.24,0.268,0.17099999999999999,10.096,0.0
IC0719,0.263,F,2.108,0.938,3.0,9.697,0.11,0.833,0.10499999999999998,10.53,0.0
IC0782,0.571,F,1.87,0.67,1.0,9.645,0.57,0.318,0.35200000000000004,9.963,0.0
IC1024,0.724,F,1.892,0.696,2.0,9.471,0.15,0.57,0.126,10.041,0.0
NGC0448,0.327,F,2.047,0.523,2.0,9.919,0.14,0.396,0.127,10.315000000000001,0.0
NGC0474,0.213,F,2.16,0.618,1.0,10.314,0.0,0.62,-0.0020000000000000018,10.934,0.0
NGC0502,0.234,F,1.989,0.465,1.0,9.952,0.0,0.466,-0.0010000000000000009,10.418,0.0
NGC0516,0.655,F,1.843,0.528,2.0,9.609,0.16,0.421,0.10700000000000004,10.03,0.0
NGC0525,0.418,F,1.902,0.711,1.0,9.457,0.0,0.71,0.0010000000000000009,10.167000000000002,0.0
NGC0661,0.139,S,2.251,0.958,1.0,9.974,0.08,0.929,0.028999999999999915,10.903,1.0
NGC0680,0.406,F,2.262,0.75,1.0,10.276,0.08,0.713,0.03700000000000003,10.988999999999999,0.0
NGC0821,0.273,F,2.254,0.822,2.0,10.273,0.18,0.734,0.08799999999999997,11.007,0.0
NGC0936,0.657,F,2.225,0.719,2.0,10.594,0.38,0.504,0.21499999999999997,11.097999999999999,0.0
NGC1023,0.391,F,2.222,0.532,3.0,10.287,0.0,0.531,0.0010000000000000009,10.818000000000001,0.0
NGC1121,0.711,F,2.225,0.824,2.0,9.737,0.13,0.706,0.118,10.443,0.0
NGC1248,0.535,F,1.906,0.324,2.0,9.894,0.0,0.326,-0.0020000000000000018,10.22,0.0
NGC1289,0.178,S,2.095,0.634,1.0,10.083,0.14,0.577,0.05700000000000005,10.66,1.0
NGC1665,0.658,F,1.958,0.498,1.0,10.102,0.12,0.45,0.04799999999999999,10.552,0.0
NGC2481,0.678,F,2.224,0.698,2.0,9.999,0.06,0.642,0.05599999999999994,10.641,0.0
NGC2549,0.572,F,2.152,0.782,3.0,9.653,0.17,0.666,0.11599999999999999,10.319,0.0
NGC2577,0.696,F,2.293,0.874,3.0,10.047,0.06,0.843,0.031000000000000028,10.89,0.0
NGC2592,0.549,F,2.282,0.882,1.0,9.796,0.01,0.882,0.0,10.677999999999999,0.0
NGC2594,0.404,F,2.224,0.731,1.0,9.736,0.07,0.659,0.07199999999999995,10.395000000000001,0.0
NGC2685,0.691,F,2.019,0.455,3.0,9.857,0.18,0.327,0.128,10.184,0.0
NGC2695,0.575,F,2.257,0.736,2.0,10.199,0.11,0.672,0.06399999999999995,10.871,0.0
NGC2698,0.593,F,2.285,0.749,3.0,10.075,0.0,0.749,0.0,10.824,0.0
NGC2699,0.444,F,2.104,0.568,1.0,9.819,0.07,0.538,0.029999999999999916,10.357000000000001,0.0
NGC2764,0.658,F,2.029,0.648,2.0,9.989,0.0,0.649,-0.0010000000000000009,10.638000000000002,0.0
NGC2768,0.253,F,2.297,0.933,1.0,10.601,0.0,0.933,0.0,11.534,0.0
NGC2778,0.572,F,2.121,0.855,2.0,9.642,0.04,0.842,0.013000000000000012,10.484,0.0
NGC2852,0.368,F,2.196,0.835,1.0,9.622,0.0,0.834,0.0010000000000000009,10.456,0.0
NGC2859,0.359,F,2.212,0.568,2.0,10.404,0.06,0.546,0.02199999999999991,10.95,0.0
NGC2880,0.581,F,2.121,0.68,1.0,9.936,0.25,0.58,0.10000000000000009,10.516,0.0
NGC2950,0.436,F,2.193,0.588,1.0,9.887,0.11,0.539,0.04899999999999993,10.426,0.0
NGC2962,0.43,F,2.162,0.814,1.0,10.284,0.0,0.813,0.0010000000000000009,11.097000000000001,0.0
NGC2974,0.663,F,2.355,0.981,3.0,10.152,0.07,0.95,0.031000000000000028,11.101999999999999,0.0
NGC3156,0.648,F,1.837,0.382,1.0,9.69,0.23,0.245,0.137,9.934999999999999,0.0
NGC3193,0.195,F,2.252,0.558,2.0,10.595,0.08,0.532,0.026000000000000023,11.127,0.0
NGC3226,0.251,F,2.183,0.873,2.0,10.12,0.0,0.873,0.0,10.992999999999999,0.0
NGC3230,0.609,F,2.256,0.767,2.0,10.345,0.04,0.754,0.013000000000000012,11.099,0.0
NGC3245,0.626,F,2.248,0.637,3.0,10.173,0.11,0.588,0.049000000000000044,10.761,0.0
NGC3248,0.511,F,1.944,0.474,2.0,9.805,0.15,0.42,0.05399999999999999,10.225,0.0
NGC3301,0.603,F,2.045,0.402,3.0,10.078,0.21,0.297,0.10500000000000004,10.375,0.0
NGC3377,0.522,F,2.108,0.58,1.0,9.888,0.06,0.553,0.026999999999999913,10.441,0.0
NGC3379,0.157,F,2.269,0.706,3.0,10.209,0.33,0.6,0.10599999999999998,10.809,0.0
NGC3384,0.407,F,2.14,0.473,3.0,10.091,0.22,0.404,0.06899999999999995,10.495,0.0
NGC3400,0.664,F,1.888,0.619,2.0,9.512,0.18,0.522,0.09699999999999998,10.034,0.0
NGC3412,0.406,F,1.967,0.404,1.0,9.758,0.47,0.211,0.19300000000000003,9.969,0.0
NGC3414,0.073,S,2.277,0.779,1.0,10.326,0.14,0.714,0.06500000000000006,11.040000000000001,1.0
NGC3458,0.461,F,2.182,0.664,2.0,9.952,0.05,0.627,0.03700000000000003,10.579,0.0
NGC3489,0.589,F,2.005,0.26,2.0,9.927,0.24,0.113,0.14700000000000002,10.04,0.0
NGC3595,0.51,F,2.129,0.602,1.0,10.064,0.0,0.602,0.0,10.666,0.0
NGC3605,0.434,F,1.923,0.46,1.0,9.542,0.0,0.459,0.0010000000000000009,10.001,0.0
NGC3607,0.209,F,2.315,0.681,2.0,10.661,0.07,0.661,0.020000000000000018,11.322,0.0
NGC3610,0.53,F,2.26,0.496,3.0,10.248,0.12,0.409,0.08700000000000002,10.657,0.0
NGC3613,0.222,F,2.294,0.772,2.0,10.456,0.0,0.772,0.0,11.228,0.0
NGC3619,0.293,F,2.157,0.693,1.0,10.212,0.28,0.615,0.07799999999999996,10.827,0.0
NGC3626,0.66,F,2.118,0.437,1.0,10.102,0.23,0.332,0.10499999999999998,10.434000000000001,0.0
NGC3630,0.648,F,2.195,0.663,3.0,9.957,0.13,0.55,0.11299999999999999,10.507000000000001,0.0
NGC3640,0.377,F,2.246,0.603,2.0,10.62,0.17,0.534,0.06899999999999995,11.154,0.0
NGC3648,0.684,F,2.224,0.829,2.0,9.91,0.21,0.694,0.135,10.604,0.0
NGC3658,0.546,F,2.101,0.573,3.0,10.109,0.0,0.572,0.0010000000000000009,10.681,0.0
NGC3665,0.41,F,2.335,0.796,2.0,10.76,0.14,0.748,0.04800000000000004,11.508,0.0
NGC3674,0.541,F,2.268,0.843,2.0,9.984,0.04,0.811,0.03199999999999992,10.795,0.0
NGC3838,0.676,F,2.125,0.589,2.0,9.772,0.0,0.589,0.0,10.361,0.0
NGC3941,0.468,F,2.081,0.4,1.0,9.94,0.0,0.4,0.0,10.34,0.0
NGC3945,0.524,F,2.249,0.628,1.0,10.394,0.22,0.549,0.07899999999999996,10.943,0.0
NGC3998,0.454,F,2.35,0.971,2.0,9.967,0.15,0.92,0.050999999999999934,10.887,0.0
NGC4026,0.548,F,2.195,0.675,2.0,9.906,0.08,0.633,0.04200000000000004,10.539000000000001,0.0
NGC4036,0.685,F,2.26,0.698,2.0,10.463,0.0,0.697,0.0010000000000000009,11.159999999999998,0.0
NGC4078,0.523,F,2.264,0.876,1.0,9.941,0.07,0.823,0.05300000000000005,10.764000000000001,0.0
NGC4111,0.619,F,2.213,0.652,2.0,9.973,0.0,0.651,0.0010000000000000009,10.624,0.0
NGC4119,0.701,F,1.838,0.51,3.0,9.849,0.2,0.423,0.08700000000000002,10.272,0.0
NGC4143,0.538,F,2.252,0.749,1.0,9.911,0.16,0.646,0.10299999999999998,10.557,0.0
NGC4150,0.513,F,1.915,0.416,3.0,9.521,0.2,0.336,0.07999999999999996,9.857000000000001,0.0
NGC4179,0.587,F,2.224,0.772,3.0,9.981,0.08,0.724,0.04800000000000004,10.705,0.0
NGC4191,0.107,S,2.095,0.658,1.0,10.046,0.22,0.533,0.125,10.578999999999999,1.0
NGC4215,0.553,F,2.124,0.609,2.0,10.126,0.04,0.589,0.020000000000000018,10.715,0.0
NGC4233,0.564,F,2.288,0.834,2.0,10.238,0.22,0.724,0.10999999999999999,10.962,0.0
NGC4251,0.584,F,2.11,0.405,1.0,10.211,0.08,0.36,0.04500000000000004,10.571,0.0
NGC4255,0.606,F,2.203,0.811,3.0,9.905,0.04,0.785,0.026000000000000023,10.69,0.0
NGC4261,0.085,S,2.424,0.929,1.0,10.793,0.28,0.82,0.1090000000000001,11.613,1.0
NGC4262,0.309,F,2.207,0.753,2.0,9.726,0.02,0.751,0.0020000000000000018,10.477,0.0
NGC4267,0.282,F,2.092,0.598,1.0,9.975,0.17,0.548,0.04999999999999993,10.523,0.0
NGC4268,0.492,F,2.188,0.853,1.0,9.889,0.2,0.744,0.10899999999999999,10.633,0.0
NGC4270,0.406,F,2.096,0.541,1.0,10.204,0.0,0.542,-0.0010000000000000009,10.746,0.0
NGC4278,0.178,F,2.328,0.829,1.0,10.247,0.26,0.734,0.09499999999999997,10.981,0.0
NGC4281,0.651,F,2.357,0.956,2.0,10.263,0.0,0.956,0.0,11.219,0.0
NGC4283,0.171,F,2.0,0.57,1.0,9.457,0.0,0.568,0.0020000000000000018,10.025,0.0
NGC4324,0.592,F,1.956,0.476,1.0,9.735,0.32,0.31,0.16599999999999998,10.045,0.0
NGC4342,0.528,F,2.384,1.017,3.0,9.504,0.01,1.018,-0.001000000000000112,10.522,0.0
NGC4346,0.576,F,2.104,0.635,3.0,9.756,0.22,0.517,0.118,10.273,0.0
NGC4350,0.638,F,2.242,0.771,3.0,9.949,0.08,0.717,0.05400000000000005,10.666,0.0
NGC4365,0.088,S,2.345,0.741,2.0,10.784,0.18,0.688,0.05300000000000005,11.472000000000001,1.0
NGC4371,0.482,F,2.158,0.705,1.0,10.106,0.27,0.596,0.10899999999999999,10.702,0.0
NGC4374,0.024,S,2.412,0.816,1.0,10.769,0.15,0.761,0.05499999999999994,11.53,1.0
NGC4379,0.398,F,1.994,0.6,1.0,9.669,0.0,0.6,0.0,10.269,0.0
NGC4387,0.399,F,1.998,0.574,1.0,9.608,0.0,0.574,0.0,10.182,0.0
NGC4406,0.052,S,2.28,0.754,1.0,10.846,0.17,0.717,0.03700000000000003,11.563,1.0
NGC4417,0.548,F,2.133,0.644,2.0,9.904,0.13,0.569,0.07500000000000007,10.472999999999999,0.0
NGC4434,0.288,F,1.999,0.417,1.0,9.793,0.0,0.416,0.0010000000000000009,10.209,0.0
NGC4435,0.599,F,2.184,0.592,3.0,10.096,0.13,0.518,0.07399999999999995,10.614,0.0
NGC4442,0.363,F,2.231,0.672,3.0,10.145,0.0,0.672,0.0,10.817,0.0
NGC4452,0.648,F,1.901,0.705,3.0,9.554,0.0,0.706,-0.0010000000000000009,10.26,0.0
NGC4458,0.072,S,1.947,0.527,1.0,9.505,0.15,0.46,0.067,9.965000000000002,1.0
NGC4459,0.438,F,2.199,0.646,1.0,10.273,0.2,0.572,0.07400000000000007,10.844999999999999,0.0
NGC4461,0.511,F,2.106,0.642,3.0,9.91,0.06,0.621,0.02100000000000002,10.531,0.0
NGC4472,0.077,S,2.398,0.746,1.0,11.029,0.0,0.746,0.0,11.775,1.0
NGC4473,0.229,F,2.271,0.715,2.0,10.213,0.24,0.574,0.14100000000000001,10.786999999999999,0.0
NGC4474,0.446,F,1.93,0.502,2.0,9.685,0.05,0.482,0.020000000000000018,10.167,0.0
NGC4477,0.221,F,2.173,0.721,1.0,10.222,0.47,0.602,0.119,10.824,0.0
NGC4478,0.233,F,2.14,0.714,3.0,9.854,0.0,0.715,-0.0010000000000000009,10.568999999999999,0.0
NGC4483,0.465,F,1.941,0.63,1.0,9.508,0.3,0.472,0.15800000000000003,9.979999999999999,0.0
NGC4486,0.021,S,2.422,0.858,2.0,10.869,0.13,0.815,0.04300000000000004,11.684,1.0
NGC4486A,0.351,F,2.091,0.656,1.0,9.535,0.0,0.656,0.0,10.191,0.0
NGC4494,0.212,F,2.176,0.599,1.0,10.394,0.2,0.511,0.08799999999999997,10.905,0.0
NGC4503,0.523,F,2.128,0.733,3.0,9.955,0.0,0.733,0.0,10.688,0.0
NGC4521,0.682,F,2.269,0.851,3.0,10.269,0.16,0.774,0.07699999999999996,11.043,0.0
NGC4526,0.453,F,2.32,0.748,1.0,10.495,0.0,0.748,0.0,11.242999999999999,0.0
