cluster,MCXC,sep_deg,L500,Xflux,logJ,detected,Xflux_rank
Virgo,J1230.7+1220,0.05,0.425069,0.0016048960725177372,18.358,1,1.0
A3526,J1248.7-4118,0.0,0.693664,0.00035647524870993007,17.6,0,2.0
Coma,J1259.7+2756,0.02,3.455556,0.000350023045997556,17.344,0,3.0
Ophiuchus,J1712.4-2321,0.01,4.942477,0.00034370295694335755,17.769,1,4.0
AWM7,J0254.4+4134,0.01,0.854335,0.0001574439507716666,17.308,0,5.0
A1060,J1036.6-2731,0.0,0.311407,0.00013063914884786832,17.388,0,6.0
A1367,J1144.6+1945,0.07,1.104603,0.00012907834555787629,17.283,0,7.0
Fornax,J0338.4-3526,0.14,0.019681,5.070913147005539e-05,17.906,1,8.0
NGC5813,J1501.1+0141,0.0,0.030004,3.993685697777846e-05,17.184,0,9.0
NGC4636,J1242.8+0241,0.0,0.010027,3.993210836307026e-05,17.313,0,10.0
A2877,J0110.0-4555,0.02,0.181484,1.7035658745319315e-05,17.155,0,11.0
M49,,1.01,,,17.685,0,
S636,,7.94,,,17.126,0,
