gal,n,slow,spin,red,medlog,outer_gbar
NGC2685,2,False,0.11962716481843348,0.14945939209589337,0.008265918226666093,-11.408389185162193
NGC2824,2,False,0.19806974653610268,0.20437773779964524,0.1452668021862547,-10.299461194905197
NGC2859,2,False,0.07190943961085028,0.07740393871807338,0.05849654243714529,-10.470486064926384
NGC2974,2,False,0.2050227239932252,0.08538659860789337,0.2001650550001381,-10.125544890305997
NGC3522,2,True,0.203903823057935,0.19216504591406028,0.17297514604291886,-10.936829100546953
NGC3626,2,False,0.12701528671291523,0.24515261461856708,-0.12147492198139094,-10.448312038924408
NGC3838,2,False,0.1865268903685941,0.027566657514441158,0.16962915514889165,-11.180257129943582
NGC3941,2,False,0.09514420550891176,0.21213709374094797,-0.0822408504512785,-10.604911455762048
NGC3945,2,False,0.08183225476093432,0.09437828880349962,0.07977067431562097,-10.289261770932988
NGC3998,2,False,0.30457504004060704,0.18802965350947967,0.30367351991253133,-10.574494525771552
NGC4203,2,False,0.13838505319240166,0.1577828595022355,-0.018950993713721997,-10.598186660370855
NGC4262,2,False,0.30968494203545155,0.2160095670387271,0.3081211509608742,-10.568316736579005
NGC4278,2,False,0.1868099627071428,0.09235809516560943,0.1868066593930025,-10.223140592578305
NGC5582,2,False,0.35309751538159934,0.17120479123490298,0.3229619494650906,-11.227659286354323
NGC6798,2,False,0.3513896025456854,0.2690480717007925,0.30893926535401345,-11.09650958811046
UGC6176,2,False,0.37283604470866105,0.3503617094229214,0.2858485769597174,-10.742805388661145
