gal,n,slow,spin,red,medlog,outer_gbar
NGC2685,2,False,0.12313906618560226,0.21997652763330922,-0.06823012819831409,-11.254020089602895
NGC2824,2,False,0.16884362825958196,0.23429617619917192,0.04745147600600726,-10.131226543140656
NGC2859,2,False,0.046223631965364324,0.16656942475403527,-0.039830652780930974,-10.30827055901067
NGC2974,2,False,0.13150651275787015,0.03226276134255346,0.1282030101022404,-10.01182088576999
NGC3522,2,True,0.16103359880784313,0.19310728006412653,0.11888710073895573,-10.852873355286278
NGC3626,2,False,0.20816486660552413,0.327245694408988,-0.20800361527877703,-10.288499841811898
NGC3838,2,False,0.1161288207301209,0.0587117546531359,0.09727549117575657,-11.04230591795158
NGC3941,2,False,0.1782716753879608,0.30181909743592783,-0.1771706093932504,-10.429580418485699
NGC3945,2,False,0.04196014735942933,0.16075165688768797,-0.009204706059219556,-10.139262367515071
NGC3998,2,False,0.22697480821993388,0.1305839779095319,0.22687784351621687,-10.441332476012198
NGC4203,2,False,0.1524360222818987,0.22655269184215804,-0.1015820162014296,-10.446835998583301
NGC4262,2,False,0.24052810380524856,0.17150705653333134,0.23635859722596603,-10.446981639364934
NGC4278,2,False,0.11291703039891857,0.07595429243445108,0.11184564845558953,-10.101327861636237
NGC5582,2,False,0.28402511211351894,0.10627975139761708,0.25339205232481965,-11.092567276523019
NGC6798,2,False,0.29265185029585666,0.2538667114230698,0.23042933679353053,-10.952813676631473
UGC6176,2,False,0.326670434011046,0.3442396503141502,0.19432582979249047,-10.57462300708567
