#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T15:26:24 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T15:26:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/199/26/table3&-out.max=unlimited&-out=RAJ2000,DEJ2000,Ktmag,cz,GLON,GLAT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21990026
#Name: J/ApJS/199/26
#Title: The 2MASS Redshift Survey (2MRS) (Huchra+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	creator=Huchra J.P.	    First author or institution
#INFO	cites=bibcode:2012ApJS..199...26H	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/199/26	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21990026	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_199_26_table3:
#Name: J/ApJS/199/26/table3
#Title: 2MRS catalog
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Ktmag	(F6.3)	Extinction-corrected total extrapolated Ks mag	[ucd=phot.mag;em.IR.K]
#Column	cz	(I5)	? Redshift, corrected to solar system barycenter reference frame	[ucd=phys.veloc;pos.heliocentric]
#Column	GLON	(F9.5)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(F9.5)	Galactic latitude	[ucd=pos.galactic.lat]
RAJ2000	DEJ2000	Ktmag	cz	GLON	GLAT
deg	deg	mag	km/s	deg	deg
---------	---------	------	-----	---------	---------
010.68471	+41.26875	 0.743	 -300	121.17430	-21.57319
011.88806	-25.28880	 3.765	  243	 97.36301	-87.96452
148.88826	+69.06526	 3.803	  -34	142.09190	 40.90022
201.36565	-43.01871	 3.901	  547	309.51639	 19.41761
196.36366	-49.46790	 4.421	  563	305.27151	 13.34017
023.46210	+30.65994	 4.087	 -179	133.61024	-31.33081
148.96846	+69.67970	 4.610	  203	141.40953	 40.56710
056.70214	+68.09611	 4.362	   31	138.17259	 10.57999
204.25383	-29.86576	 4.595	  513	314.58353	 31.97269
189.99789	-11.62307	 4.944	 1024	298.46094	 51.14923
010.67427	+40.86517	 5.040	 -200	121.14999	-21.97622
192.72145	+41.12015	 5.100	  308	123.36211	 76.00777
194.18207	+21.68266	 5.315	  408	315.68127	 84.42287
308.71805	+60.15368	 5.248	   40	 95.71873	 11.67289
187.44499	+08.00041	 5.388	  997	286.92224	 70.19597
202.46957	+47.19526	 5.484	  463	104.85159	 68.56084
184.74008	+47.30372	 5.458	  448	138.31985	 68.84251
050.67412	-37.20820	 5.580	 1760	240.16275	-56.68984
198.95554	+42.02929	 5.602	  484	105.99706	 74.28773
040.66988	-00.01329	 5.776	 1137	172.10397	-51.93358
190.91670	+11.55261	 5.730	 1117	295.87354	 74.31767
049.32750	-41.10807	 5.653	  788	247.52402	-57.04243
166.45247	-00.03590	 5.763	  801	255.53194	 52.82921
010.09198	+41.68530	 5.557	 -241	120.71631	-21.13871
187.70593	+12.39110	 5.804	 1307	283.77777	 74.49104
151.30824	-07.71858	 5.867	  663	247.78252	 36.78094
170.06261	+12.99129	 5.869	  727	241.96164	 64.41846
210.80243	+54.34875	 5.509	  246	102.03697	 59.77156
035.63711	+42.34832	 5.915	  528	140.38223	-17.41514
061.94545	+69.81243	 5.890	  895	138.46324	 13.11032
339.26709	+34.41592	 5.996	  816	 93.72210	-20.72380
143.04213	+21.50083	 6.025	  556	208.71164	 44.54013
169.73315	+13.09221	 6.057	  807	241.33185	 64.22169
189.08669	+25.98739	 6.055	 1230	230.76158	 86.43781
140.51106	+50.97648	 6.057	  638	166.94218	 44.15141
287.44208	-63.85754	 5.920	  841	332.22400	-26.14640
170.07091	+13.58949	 6.064	  825	240.85176	 64.78079
