#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-13T11:26:40 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-13T11:26:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2fAJ%2f144%2f4%2fcatalog&-out=Name%2cSubG%2cD%2cR2%2cMass%2csigma%2a%2cM.HI&-out.max=300	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51440004
#Name: J/AJ/144/4
#Title: Properties of dwarf galaxies in the Local Group (McConnachie+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/aj/144/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/144/4	    IVOID of underlying data collection
#INFO	creator=McConnachie A.W.	    First author or institution
#INFO	cites=bibcode:2012AJ....144....4M	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/144/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51440004	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-11-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_144_4_catalog:
#Name: J/AJ/144/4/catalog
#Title: Catalog of the observed properties of dwarf galaxies in and around the Local Group (tables 1--5 of paper)
#Column	Name	(a29)	Galaxy name	[ucd=meta.id;meta.main]
#Column	SubG	(A4)	The galactic subgroup (MW, M31 or Rest) (1)	[ucd=meta.id.parent]
#Column	D	(I4)	? Heliocentric distance (7)	[ucd=pos.distance;pos.heliocentric]
#Column	R2	(I4)	? Half-light radius (17)	[ucd=phys.size.radius]
#Column	Mass	(F10.5)	? Mass of the galaxy in stellar masses (19)	[ucd=phys.mass]
#Column	sigma*	(F4.1)	? The observed velocity dispersion of the stellar component {sigma}* (20)	[ucd=phys.veloc.dispersion]
#Column	M.HI	(E8.1)	? Mass of HI in each galaxy (23)	[ucd=phys.mass]
Name	SubG	D	R2	Mass	sigma*	M.HI
 	 	kpc	pc	10+6Msun	km/s	10+6Msun
-----------------------------	----	----	----	----------	----	--------
The Galaxy                   	MW  	    	    	          	    	
Canis Major                  	MW  	   7	    	  49.00000	20.0	
Sagittarius dSph             	MW  	  26	2587	  21.00000	11.4	
Segue (I)                    	MW  	  23	  29	   0.00034	 3.9	
Ursa Major II                	MW  	  32	 149	   0.00410	 6.7	
Bootes II                    	MW  	  42	  51	   0.00100	10.5	
Segue II                     	MW  	  35	  35	   0.00086	 3.4	
Willman 1                    	MW  	  38	  25	   0.00100	 4.3	
Coma Berenices               	MW  	  44	  77	   0.00370	 4.6	
Bootes III                   	MW  	  47	    	   0.01700	14.0	
LMC                          	MW  	  51	    	1500.00000	20.2	 4.6e+02
SMC                          	MW  	  64	    	 460.00000	27.6	 4.6e+02
Bootes (I)                   	MW  	  66	 242	   0.02900	 2.4	
Draco                        	MW  	  76	 221	   0.29000	 9.1	
Ursa Minor                   	MW  	  76	 181	   0.29000	 9.5	
Sculptor                     	MW  	  86	 283	   2.30000	 9.2	 2.2e-01
Sextans (I)                  	MW  	  86	 695	   0.44000	 7.9	
Ursa Major (I)               	MW  	  97	 319	   0.01400	 7.6	
Carina                       	MW  	 105	 250	   0.38000	 6.6	
Hercules                     	MW  	 132	 330	   0.03700	 3.7	
Fornax                       	MW  	 147	 710	  20.00000	11.7	 1.7e-01
Leo IV                       	MW  	 154	 206	   0.01900	 3.3	
Canes Venatici II            	MW  	 160	  74	   0.00790	 4.6	
Leo V                        	MW  	 178	 135	   0.01100	 3.7	
Pisces II                    	MW  	 182	  58	   0.00860	    	
Canes Venatici (I)           	MW  	 218	 564	   0.23000	 7.6	
Leo II                       	MW  	 233	 176	   0.74000	 6.6	
Leo I                        	MW  	 254	 251	   5.50000	 9.2	
Andromeda                    	M31 	 783	    	          	    	
M32                          	M31 	 805	 110	 320.00000	92.0	
Andromeda IX                 	M31 	 766	 557	   0.15000	 4.5	
NGC 205                      	M31 	 824	 590	 330.00000	35.0	 4.0e-01
Andromeda XVII               	M31 	 794	 286	   0.26000	    	
Andromeda I                  	M31 	 745	 672	   3.90000	10.6	
Andromeda XXVII              	M31 	 828	 434	   0.12000	    	
Andromeda III                	M31 	 748	 479	   0.83000	 4.7	
Andromeda XXV                	M31 	 813	 709	   0.68000	    	
Andromeda XXVI               	M31 	 762	 222	   0.06000	    	
