Name,Type,Rad,g_obs,g_bar,locked,Vobs
UGC 00089,SBa,0.3,2.606498768068817e-09,1.2436311874315092e-08,0.9969039913717749,155.33333333333334
UGC 00089,SBa,0.6425,3.7009581266365787e-09,7.690780840448707e-09,0.9917296678505804,270.875
UGC 00089,SBa,1.114375,3.2545539930238554e-09,4.268079343931976e-09,0.979617228457007,334.53125
UGC 00089,SBa,1.6441379310344828,2.2850802457983967e-09,2.443507125607362e-09,0.9571904099175755,340.48275862068965
UGC 00089,SBa,2.21125,1.3874946432243512e-09,1.506457088018792e-09,0.9222697964411236,307.6875
UGC 00089,SBa,2.6785714285714284,9.866786500113503e-10,1.0908845764684332e-09,0.8863582713620607,285.57142857142856
UGC 00089,SBa,3.0966666666666662,9.992449321919401e-10,8.571653843198369e-10,0.8504730181077559,309.0
UGC 00089,SBa,3.32,9.685732680575818e-10,7.653340109272745e-10,0.8304014047090075,315.0
UGC 00089,SBa,3.85,8.673588019834722e-10,6.059874064552346e-10,0.7817190476467892,321.0
UGC 00089,SBa,4.37,7.499326427134369e-10,5.01127360121082e-10,0.7342712759644614,318.0
UGC 00089,SBa,4.89,6.513519024948741e-10,4.268145610549313e-10,0.6886842640069997,313.5
UGC 00089,SBa,5.22,6.517318902082599e-10,3.901684774274893e-10,0.6611666358563032,324.0
UGC 00089,SBa,5.7749999999999995,5.480213895840715e-10,3.4116730705857385e-10,0.6178041097238439,312.5
UGC 00089,SBa,6.269999999999999,4.967127427681077e-10,3.070174057769859e-10,0.5824104371308398,310.0
UGC 00089,SBa,6.67,6.157772174318156e-10,2.841423078067548e-10,0.5560849695855478,356.0
UGC 00089,SBa,7.03,5.235448977566246e-10,2.663228145702994e-10,0.5340848823535308,337.0
UGC 00089,SBa,7.6,6.552514588594459e-10,2.4225988653020566e-10,0.5023668259413944,392.0
UGC 00089,SBa,8.73,4.6257762483204226e-10,2.051448557363913e-10,0.44961485358800124,353.0
UGC 00089,SBa,9.26,5.133765369214951e-10,1.911387022524323e-10,0.4289030845293796,383.0
UGC 00094,SAab,1.502857142857143,5.010309033759132e-10,1.8655366808772017e-10,0.4708459769451393,152.42857142857142
UGC 00094,SAab,2.085,5.377362124585959e-10,1.5358962909351923e-10,0.29960074358793326,186.0
UGC 00094,SAab,2.51,4.5634304066183925e-10,1.423678583214786e-10,0.22333960796545785,188.0
UGC 00094,SAab,3.085,4.265248975845785e-10,1.3259719311072571e-10,0.15882197671456763,201.5
UGC 00094,SAab,3.6300000000000003,3.788587050326751e-10,1.2542024717073782e-10,0.12129073488093058,206.0
UGC 00094,SAab,4.56,2.565616937476789e-10,1.1450734322013322e-10,0.08419057311212368,190.0
UGC 00094,SAab,4.58,2.369660646816645e-10,1.1427989648920465e-10,0.0836230117569869,183.0
UGC 00094,SAab,6.090000000000001,2.291228296898833e-10,9.759099732647919e-11,0.055384041154589406,207.5
UGC 00094,SAab,7.14,1.9167915908691584e-10,8.669769344029225e-11,0.045354993845027995,205.5
UGC 00094,SAab,8.79,1.54941694697269e-10,7.128981902737486e-11,0.036393500556718195,205.0
UGC 00094,SAab,9.18,1.5126813918671199e-10,6.799217836190158e-11,0.03498523340078313,207.0
UGC 00094,SAab,11.45,1.3083408092101816e-10,5.1443438137669323e-11,0.029722691529638676,215.0
UGC 00508,SB(r)ab,0.7399999999999999,3.712795630029208e-09,7.73124762569032e-09,0.985396726955214,291.1666666666667
UGC 00508,SB(r)ab,1.78,2.5161203302884154e-09,2.1521628343499056e-09,0.9148576031490311,371.75
UGC 00508,SB(r)ab,2.786,1.8760989956804317e-09,1.0991636918692593e-09,0.8005557707461147,401.6
UGC 00508,SB(r)ab,3.88,1.3280643575754993e-09,7.081209370630121e-10,0.6618736574799363,398.75
UGC 00508,SB(r)ab,4.994,1.3340249382194023e-09,5.341037175724353e-10,0.5362167862845179,453.4
UGC 00508,SB(r)ab,5.75,1.2239211606584009e-09,4.655148226842928e-10,0.4658633402742825,466.0
UGC 00508,SB(r)ab,7.78,8.58581573294492e-10,3.587446277393004e-10,0.3315348398651515,454.0
UGC 00508,SB(r)ab,7.81,9.963010337971728e-10,3.5762028739347303e-10,0.3300360535366473,490.0
UGC 00508,SB(r)ab,9.69,7.231553166770979e-10,3.000135923572403e-10,0.2558158238395019,465.0
UGC 00508,SB(r)ab,10.39,7.21645752824964e-10,2.830109174667377e-10,0.23591303733628333,481.0
UGC 00508,SB(r)ab,11.517499999999998,6.797328801428058e-10,2.587792805555798e-10,0.2099947525738547,491.5
UGC 00508,SB(r)ab,12.89,6.260335794033641e-10,2.3316671937590205e-10,0.18609057089771444,499.0
UGC 00508,SB(r)ab,13.68,5.851620259549438e-10,2.1992241454799202e-10,0.17517364898845394,497.0
UGC 00508,SB(r)ab,14.835000000000003,5.805227492900356e-10,2.0217054303709426e-10,0.16204285837845164,515.5
UGC 00508,SB(r)ab,16.065,5.73090412423878e-10,1.8507576487680988e-10,0.1509451976374152,533.0
UGC 00508,SB(r)ab,17.185,5.611635166452035e-10,1.7092262319649067e-10,0.14283531561220053,545.5
UGC 00508,SB(r)ab,18.54,5.619605679526319e-10,1.5538938268686238e-10,0.13498830463365089,567.0
UGC 00508,SB(r)ab,19.83,4.997778485757397e-10,1.420468235715723e-10,0.12908073958637264,553.0
UGC 00508,SB(r)ab,20.61,4.704853616765449e-10,1.346009138407944e-10,0.1261057740651918,547.0
UGC 00508,SB(r)ab,22.24,3.8498243037501956e-10,1.2041212107939688e-10,0.12105979142932156,514.0
UGC 00528,SABb,0.1866071428571429,1.764499656785692e-10,8.723780560275525e-10,0.771463787838602,31.875
UGC 00528,SABb,0.465,2.540450805292965e-10,5.289735075548031e-10,0.45868931147685477,60.375
UGC 00528,SABb,0.753,2.8516964064657085e-10,4.3244174596316226e-10,0.295886495085884,81.4
