Name,AGC,sep,dV,S,D,MHI
2MASXJ10590914+0123002,200765,0.7021012073252042,-16.0,1.27,158.0337,7472715076.242477
2MASXJ15132872+0659283,250336,0.5255346167487467,-39.0,1.23,178.3361,9216349325.243498
2MASXJ15582240+1606100,251746,0.6802712475610617,2.0,1.82,150.0848,9658731551.940424
2MASXiJ2325197+142418,331735,1.5180062045941762,2.0,1.73,151.2289,9321611005.405254
AT2017hrr,6485,1.960895745047252,26.0,2.11,86.962,3759384790.843504
CGCG010-052,200763,0.9481032099599275,11.0,2.42,155.271,13745842142.05303
CGCG049-026,251874,0.6060541160021732,1.0,1.14,135.4153,4925106316.284988
CGCG049-153,250644,1.4280872250068246,0.0,1.09,128.1575,4217837443.624225
CGCG459-017,110138,0.2995694610893869,38.0,0.96,144.7077,4736197463.324854
IC0004,123,1.0308677025061903,15.0,3.48,55.8014,2552964173.228101
IC0013,195,1.8088168150636814,2.0,4.06,67.3137,4334192990.486961
IC0121,1053,2.068429320675884,5.0,1.59,114.1339,4879796660.790583
IC0221,1835,2.2006347083973665,1.0,13.0,58.4589,10466944387.352388
IC0635,5821,3.1480327770157555,-2.0,6.13,95.0935,13059827036.222235
IC0677,6262,3.1400934346668765,-1.0,6.56,53.7864,4471199830.141378
IC0756,7026,3.237327120258406,-1.0,4.8,85.228,8214499696.465918
IC0768,7192,2.8768071261030457,-1.0,7.28,60.6367,6306345802.493347
IC0797,7676,2.0919646456434844,-1.0,3.6,16.4,228121113.59999996
IC0800,7716,1.3818661250033635,9.0,1.2,17.5,86583000.0
IC0842,8118,1.962352339667989,-8.0,1.07,100.6527,2553935485.2306705
IC0871,8358,2.345404428833009,15.0,8.75,83.4088,14341913051.80256
IC0900,8555,0.19905016677862736,1.0,6.96,100.082,16424663352.253822
IC0952,8808,0.7651063776789166,-7.0,5.15,60.5832,4453351070.478682
IC0984,9062,1.1460107914142121,8.0,3.51,65.0901,3503581948.8650784
IC1048,9483,2.4177125593253193,-11.0,17.65,22.8514,2171428935.3935466
IC1133,9973,0.2400000000015723,2.0,6.4,55.3703,4622841604.892186
IC1474,12417,2.109553393111254,-5.0,4.64,42.8291,2005262181.8957827
IC1504,12734,0.1795576853596111,0.0,9.83,79.4158,14606381317.603182
IC1839,2220,1.323481802605914,-8.0,3.65,92.8885,7419797455.329063
IC2219,4180,1.97578024450833,-3.0,6.12,73.5505,7800060425.926068
IC2387,4511,2.3222886947336523,-7.0,6.05,109.4596,17078053679.36022
IC2674,6290,2.064267894427134,-1.0,3.57,75.8573,4839920897.483512
IC2822,6449,3.290864538190006,-1.0,11.1,48.4431,6137084724.280168
IC3107,7330,1.5875812109295666,-7.0,7.86,108.7926,21917779024.249603
IC3122,7341,0.647286009052499,2.0,5.02,86.8384,8918722044.902683
IC3258,7470,1.9242049159618366,2.0,4.69,14.8,242031314.56000006
IC3298,220539,3.2043291171646366,-8.0,2.31,16.5,148168251.0
IC3365,7563,9.083319338250629,-24.0,6.21,18.2,484629294.2399999
IC3392,7602,1.5900538055864106,-1.0,1.19,16.5,76329099.0
IC3517,7733,0.5504250655975513,0.0,1.05,20.9,108058057.79999998
IC3576,7781,2.5374114126457044,-3.0,16.27,16.8,1081885754.8799999
IC3704,7899,1.3599999999961199,18.0,6.7,126.389,25215561541.78492
IC3742,7932,7.071238887942409,-2.0,10.75,23.3,1374977503.0
IC4483,9455,0.7403574411373752,85.0,2.26,110.3471,6483441154.524274
IC5253,12180,3.309002207249754,4.0,5.94,87.5338,10722925678.363653
IC5282,12325,3.2133635020099174,0.0,3.57,75.7703,4828825547.247003
IC5309,12498,1.012068299073356,-4.0,2.28,50.2426,1355983310.5737197
KUG0145+321,110794,1.1716810406289935,12.0,1.32,139.7887,6077057554.386409
KUG0826+305,180312,1.1410378997607253,7.0,2.13,212.9181,22749929420.24331
KUG0919+340,190805,1.9506637531126818,2.0,1.49,102.7834,3708578822.5634446
KUG0919+341,190243,0.8753239206881257,-31.0,1.18,85.0299,2010021163.2059317
KUG1114+294,211577,1.8858177915406944,-7.0,0.81,103.2843,2035771011.612846
NGC0019,98,2.34229013297254,1.0,4.89,49.8577,2863839173.5630207
NGC0021,100,1.692451043939367,4.0,9.22,49.2868,5276761328.777064
NGC0200,420,1.2542090314948693,-5.0,4.68,62.4997,4307021152.299233
NGC0214,438,3.8120282512770975,0.0,6.17,49.2583,3527112312.5846863
NGC0280,534,2.0372828763111355,4.0,8.71,126.5041,32839961823.930195
NGC0338,624,1.8354603716236024,-7.0,11.72,48.2515,6428720367.544771
NGC0444,810,1.2146091582851046,-1.0,5.42,49.1981,3090802354.943876
NGC0496,927,1.1244583172994604,2.0,6.24,82.9107,10106040619.02143
NGC0512,944,0.12774442661831945,-12.0,5.57,54.3261,3873000372.2087536
NGC0658,1192,2.0534179238088868,-8.0,26.03,34.2292,7185267683.621083
NGC0673,1259,0.8989096370306343,-1.0,14.0,60.3903,12029226321.162457
NGC0768,1457,1.299985707801801,31.0,9.44,91.551,18641182798.102463
NGC0803,1554,1.403395702761531,-2.0,36.49,25.1499,5437780520.44465
NGC0820,1629,1.5772323870080567,3.0,11.53,46.5608,5889052971.463468
NGC0917,1890,1.3050863671777042,-73.0,3.02,59.7849,2543110572.5003314
NGC0918,1888,1.018867859462634,1.0,22.72,18.2832,1789320069.9231436
NGC0931,1935,3.5249357223301288,-1.0,32.29,50.8068,19637536973.31303
NGC1085,2241,0.7224858122583059,-2.0,14.45,83.8587,23940840007.86635
NGC1095,2264,1.734466775150388,-3.0,3.73,81.3535,5816163435.721752
NGC2486,4123,2.240658219167476,1.0,3.36,69.2321,3794281722.8352823
NGC2596,4419,0.8121916726843847,-3.0,5.63,85.9114,9790058198.829144
NGC2919,5102,2.338702991158358,-4.0,6.77,40.8883,2666625719.8764725
NGC2939,5134,6.1029509246160645,0.0,22.1,56.4992,16620808922.228327
NGC2964,5183,2.6887483071774554,-3.0,19.78,21.3445,2123115128.6952822
NGC3131,5471,2.027296959254957,-3.0,5.35,72.034,6540397309.2517605
NGC3153,5505,1.4100689120135894,-2.0,18.35,45.0403,8770288985.383335
NGC3154,5507,1.1898160287720014,38.0,3.97,94.1151,8284845405.369289
NGC3306,5774,1.495743495673854,1.0,11.27,44.4614,5248865803.854871
NGC3356,5852,1.7825301315163036,3.0,13.37,83.7998,22120383784.74456
NGC3389,5914,0.5488845433924794,-2.0,26.43,27.6276,4752901000.365599
NGC3428,5968,1.2359853714432347,0.0,4.83,115.915,15289796175.114304
NGC3437,5995,5.454339389070087,-1.0,17.45,30.4094,3801775082.9217997
NGC3451,6023,3.1558847107776233,1.0,8.34,21.1207,876512174.0218748
NGC3646,6376,1.5852129679288005,0.0,34.31,63.7544,32856124082.84132
NGC3692,6474,1.4056092379849583,-1.0,12.37,30.6505,2737915956.400393
NGC3701,6493,2.2566793500392035,0.0,23.02,46.5045,11729258671.598118
NGC3833,6692,3.012244149142012,0.0,11.76,84.2267,19655413224.172634
NGC3914,6809,1.627576049903962,33.0,6.37,78.8754,9336795953.515821
NGC3976,6906,0.8588087516623939,-3.0,47.0,42.0829,19610310235.090416
NGC4029,6990,2.172586873856913,52.0,1.83,81.5902,2870135307.422174
NGC4110,7102,1.3743083695871148,8.0,3.46,97.9164,7815598853.366856
NGC4134,7130,1.8429806407261784,5.0,15.65,57.4206,12156962594.717932
NGC4193,7234,1.4447325531722315,7.0,8.4,41.1099,3344624855.536911
NGC4246,7334,1.6388254987716249,0.0,21.78,54.2004,15074334388.4575
NGC4273,7380,2.7004304135434896,-2.0,17.22,39.1343,6213317879.629898
NGC4312,7442,1.1310807171199033,-10.0,1.93,10.7,52059518.919999994
NGC4313,7445,1.3982063734965526,11.0,1.66,14.6,83366023.36
NGC4351,7476,2.081984410656311,-9.0,5.57,25.1,826757082.9200002
NGC4383,7507,1.3709105239255077,-2.0,41.64,19.6,3768757117.4400005
NGC4388,7520,2.2372293634686264,-9.0,7.57,20.1,720548602.9200002
NGC4390,7519,1.9972053432417,0.0,7.27,22.8,890388190.08
NGC4394,7523,2.9253997350019385,-7.0,8.09,17.3,570447937.16
NGC4396,7526,3.495863067634252,2.0,16.55,15.8,973391295.2
NGC4405,7529,2.690379501682611,-12.0,0.76,15.5,43018204.0
NGC4407,7538,2.726163106285355,34.0,3.16,16.3,197805142.24
NGC4409,7549,5.78954624112178,-4.0,14.9,29.5122,3057487747.2058897
NGC4419,7551,2.745472612819231,-15.0,1.44,17.0,98047296.0
NGC4475,7632,0.9780178488887071,-4.0,3.75,98.4292,8559619599.067438
NGC4480,7647,1.776199358710604,7.0,11.31,36.5549,3560648403.936752
NGC4498,7669,3.169174016387815,-1.0,12.17,16.5,780609357.0
NGC4502,7677,3.561382078751251,1.0,3.85,31.6,905753833.6
NGC4519,7709,1.9928364231751539,-2.0,46.92,27.8,8543245399.68
NGC4522,7711,0.29616177968856683,0.0,7.17,18.3,565713602.2800001
NGC4535,7727,0.7224450193215366,-1.0,71.66,16.9,4821981048.5599985
NGC4540,7742,2.4147236343837055,-3.0,4.64,14.7,236226130.55999994
NGC4576,7792,2.2905566811983693,6.0,4.72,72.9102,5911447866.324929
NGC4588,7810,1.5929845910060652,2.0,5.2,69.9005,5986034207.394279
NGC4595,7826,1.6695845316755566,-1.0,7.1,14.4,346863513.59999996
NGC4606,7839,5.032206693342859,-9.0,0.79,17.1,54424518.84
NGC4632,7870,2.7891931300134254,-1.0,43.68,30.5579,9609591502.833328
NGC4633,7874,7.977672469087038,-20.0,10.49,21.1,1100311583.2400002
NGC4639,7884,2.6425825809879844,-41.0,19.0,22.5,2266177500.0
NGC4689,7965,1.1351937840297956,14.0,8.36,17.7,617060996.6399999
NGC4694,7969,1.4302652211575448,0.0,5.73,15.3,316018690.9200001
NGC4698,7970,0.36485830107741024,0.0,30.06,22.7,3649353859.4399996
NGC4712,7977,1.2119664809368476,1.0,11.21,59.913,9480320756.864244
NGC4808,8054,0.6446489699656365,-2.0,69.65,10.9636,1972435322.3521185
NGC5056,8337,3.2814535655896933,0.0,8.47,74.4259,11053679970.828262
NGC5060,8351,1.9572758513813815,3.0,2.23,80.1154,3372190960.7080574
NGC5065,8356,2.14670411013434,-1.0,4.86,74.2721,6316303101.496864
NGC5115,8408,1.3288055091392783,-2.0,6.64,103.0931,16626566110.452803
NGC5125,8421,0.7783570485155289,19.0,8.01,88.9737,14939329449.22853
NGC5172,8477,3.1589849716476897,1.0,19.22,56.1881,14296092937.329014
NGC5185,8488,1.1548809340713044,-36.0,4.54,103.4814,11453961797.722317
NGC5235,8582,1.4596035147906785,37.0,1.36,85.8743,2362874276.6434045
NGC5356,8831,1.6297351263874649,-4.0,4.87,24.8633,709286653.1943531
NGC5409,8938,1.1198005599655518,30.0,5.32,82.0248,8432906374.828616
NGC5416,8944,1.3612873153805511,-2.0,4.18,82.2624,6664296633.282477
NGC5418,8946,2.1233328849624473,40.0,2.17,61.3565,1924669551.402997
NGC5491,9072,0.9372542019658958,-6.0,9.0,76.3098,12347482695.435213
NGC5522,9116,3.143143498274358,-3.0,7.4,62.5905,6830049444.209459
NGC5577,9187,1.6853938487921898,0.0,11.33,20.8842,1164235622.0629148
NGC5599,9218,2.325591943471395,3.0,4.6,86.9202,8187938117.075029
NGC5619,9255,1.4038239888548445,-85.0,3.68,111.9544,10866894188.306555
NGC5645,9328,4.156889348367576,-3.0,21.38,23.1489,2699253695.745885
NGC5650,9334,1.721040075321991,-4.0,12.93,93.8032,26804586950.332756
NGC5661,9346,1.4596291439849034,-1.0,21.35,36.9259,6858597928.099749
NGC5665,9352,0.7732946754523042,-19.0,6.68,30.9554,1508080724.6743214
NGC5690,9416,2.0179917310449613,0.0,32.97,22.4519,3915619040.588432
NGC5740,9493,0.8850952926501418,4.0,29.23,16.7816,1939415364.4781134
NGC5806,9645,1.7561154393636462,10.0,10.36,19.8764,964296293.9443994
NGC6016,10096,1.640758115801428,1.0,5.3,82.0687,8410198841.206511
NGC6022,251373,0.9081453469856793,20.0,1.44,131.58,5873778189.849601
NGC6063,10210,1.4200317421008528,0.0,8.45,38.0685,2885117630.3451447
NGC6070,10230,1.905302948134342,-2.0,27.82,26.4109,4571922010.731154
NGC6073,10235,1.7056361154384903,1.0,6.83,58.9219,5586624417.036833
NGC6106,10328,2.096242139806711,0.0,27.75,21.4817,3017001790.9673305
NGC7290,12045,0.7265910015095608,0.0,8.8,34.0607,2405276989.5074267
NGC7311,12080,1.2474110224762127,-6.0,3.66,54.2297,2535892126.788759
NGC7339,12122,3.375605323704963,-3.0,8.61,14.8461,447098487.4554483
NGC7357,12162,0.6237424663605105,1.0,6.0,88.2387,11006385975.982582
NGC7407,12230,7.68330298578919,2.0,10.53,83.9907,17501128714.407074
NGC7448,12294,1.8016281074339888,-1.0,29.75,23.7539,3954869011.133412
NGC7466,12319,1.4256021976403823,0.0,8.12,95.424,17419935804.751873
NGC7489,12378,1.8076101015150567,-2.0,13.24,79.2285,19580606448.400764
NGC7536,12437,2.069833957644344,1.0,13.21,58.8973,10796149154.143934
NGC7541,12447,2.3337180156064803,-2.0,38.89,34.727,11049630701.530035
NGC7568,12469,2.2104506490297586,-11.0,5.24,107.7609,14336033027.804974
NGC7591,12486,0.43414240976742935,5.0,18.93,57.5835,14788428187.163555
NGC7593,12483,1.1199999999945476,-7.0,3.31,48.1332,1806727898.9366732
NGC7594,12485,0.9281829661279859,0.0,4.05,132.9221,16858723864.903454
NGC7631,12539,1.6590273856102178,-8.0,3.24,43.313,1432045533.8403363
NGC7664,12598,0.7736938021641694,0.0,32.21,39.9693,12123250963.995243
NGC7677,12610,2.3177707744928497,-4.0,9.55,40.5706,3703407645.3383126
NGC7750,12777,0.7710533751867396,-8.0,18.26,34.086,4998366977.494176
NGC7753,12780,1.0209771942195005,-3.0,23.01,55.0794,16446379453.423038
NGC7782,12834,1.7897769088556703,23.0,10.83,65.2859,10875332245.013178
NGC7819,26,0.8695791009028602,0.0,10.19,50.5416,6132639595.688548
NGC7831,60,1.5483259166315735,2.0,6.69,55.8987,4924983951.827957
SDSSJ103804.65+014427.5,5783,15.687069168570645,35.797200000000885,2.83,141.8721,13420098891.28435
SDSSJ103847.36+054135.9,5788,14.055936466444887,17.165899999999965,2.51,115.7623,7924708593.858449
SDSSJ110925.00+222900.8,211453,1.8226893699261428,-14.0,2.75,90.1479,5265252566.23024
SDSSJ111023.34+044946.3,6212,21.650126734940564,1.618800000000192,3.93,125.0387,14476272046.623154
SDSSJ140232.36+090443.7,8948,8.223651601987633,24.046900000000278,7.02,78.7731,10262856865.377983
SDSSJ143712.96+083834.3,9410,17.48810797523077,28.938500000000204,4.33,102.3936,10695690005.878702
SDSSJ145311.77+165524.4,240869,1.3465039969246335,-43.0,2.3,175.5062,16691218730.085867
UGC00014,14,2.2080769780152054,-23.0,6.55,97.9884,14817192353.6023
UGC00041,41,2.656499676920442,-3.0,4.21,86.6872,7453621459.529445
UGC00111,111,3.5024555228115983,-4.0,4.6,87.9764,8388136538.074968
UGC00166,166,1.4406695924301882,-1.0,8.32,53.4655,5603325836.350527
UGC00179,179,1.4384131376436184,0.0,6.09,47.7508,3271552415.193875
UGC00210,210,1.7029578978955242,3.0,4.55,49.0839,2582645559.8483353
UGC00228,228,1.6045661929113477,1.0,7.84,77.3665,11055980120.029264
UGC00229,229,2.25105186323709,1.0,2.3,91.9677,4583252384.1219845
UGC00279,279,5.414949960071334,10.0,11.06,79.7024,16552866453.613197
UGC00299,299,1.2399999999985312,1.0,3.83,78.3925,5545275012.389074
UGC00310,310,2.5914143101227918,2.0,3.78,50.8119,2299312261.9680543
UGC00321,321,2.450768639719974,10.0,3.65,49.2361,2084660995.5480072
UGC00346,346,1.2244114038458538,8.0,1.19,74.5995,1560249603.1556911
UGC00484,484,1.3659693020632662,-3.0,15.31,50.7214,9279678743.356768
UGC00533,533,0.7795999458784538,-5.0,3.54,65.8125,3612395771.15625
UGC00540,540,0.6916669655728194,0.0,4.98,53.7832,3393891120.6169653
UGC00556,556,0.8038140263412678,9.0,6.04,49.8698,3539056350.679769
UGC00565,565,2.2820415216863013,-7.0,2.55,57.9278,2015995399.1140149
UGC00633,633,1.7321281790763716,4.0,7.09,62.4106,6506362210.770114
UGC00673,673,0.6764572487545655,-6.0,3.87,85.8046,6712856961.719015
UGC00679,679,1.5833150772244249,-4.0,2.18,56.406,1634114132.0642881
UGC00732,732,0.24515288473291805,-1.0,2.88,55.476,2088228664.2401278
UGC00890,890,1.8838236989870123,1.0,9.45,57.794,7436568828.039118
UGC00899,899,1.3973198368824273,-9.0,3.71,116.7511,11914372055.228231
UGC00987,987,2.4431719950701374,-3.0,5.57,46.9399,2891444105.587027
UGC01083,1083,0.8799999999993702,-1.0,7.3,52.5795,4754786818.371571
UGC01118,1118,8.109756388622799,0.0,9.65,40.5333,3735308925.54777
UGC01152,1152,1.3837920921642064,-10.0,4.85,87.5826,8765015571.394941
UGC01235,1235,1.3177342789890358,5.0,2.27,61.3179,2010831541.965593
UGC01498,1498,1.3529669199335805,-6.0,3.25,54.4076,2266615138.242832
UGC01531,1531,0.7556332436906544,-3.0,2.37,103.264,5954173967.142912
UGC01536,1536,1.6715639903434325,22.0,1.7,98.7153,3902951431.0721264
UGC01622,1622,0.23081709996949235,6.0,2.79,96.2038,6083646110.774639
UGC01706,1706,0.8162340224019813,5.0,2.62,49.8804,1535806256.4374516
UGC01792,1792,1.3701256606156471,-1.0,8.47,53.0174,5609130551.388068
UGC01812,1812,1.0327108711083595,1.0,3.03,47.8538,1634747850.3751338
UGC01848,1848,2.361285324688512,1.0,3.5,140.64,16310266076.159998
UGC01938,1938,0.9957757541423573,-2.0,4.45,84.9815,7571537577.921745
UGC01995,1995,1.7838725490094534,1.0,5.78,94.7912,12235991509.502674
UGC02020,2020,1.85886467669243,-1.0,6.4,66.528,6673661818.306561
UGC02134,2134,2.5376344849721377,-1.0,10.7,49.3363,6136096999.0366745
