#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T15:26:52 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T15:26:52	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=unlimited&-out=Name,_RA,_DE,Dist,i,Qual,Vflat,L3.6,Rdisk,SBdisk,MHI	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	SBdisk	(F8.2)	[12/23813.9] Extrapolated 3.6{mu}m central surface brightness of the stellar disk ({Sigma}_d_)	[ucd=phot.mag.sb]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
Name	_RA	_DE	Dist	i	Qual	Vflat	L3.6	Rdisk	SBdisk	MHI
 	deg	deg	Mpc	deg	 	km/s	GLsun	kpc	Lsun/pc2	GMsun
-----------	---------	---------	------	----	---	-----	-------	-----	--------	-------
CamB       	073.27958	+67.09917	  3.36	65.0	  2	  0.0	  0.075	 0.47	   66.20	  0.012
D512-2     	218.33465	+26.99804	 15.20	56.0	  2	  0.0	  0.325	 1.24	   93.94	  0.081
D564-8     	135.72232	+20.07561	  8.79	63.0	  2	  0.0	  0.033	 0.61	   21.13	  0.029
D631-7     	119.25428	+14.39657	  7.72	59.0	  1	 57.7	  0.196	 0.70	  115.04	  0.290
DDO064     	147.59487	+31.48828	  6.80	60.0	  1	 46.1	  0.157	 0.69	  151.65	  0.211
DDO154     	193.52187	+27.14963	  4.04	64.0	  2	 47.0	  0.053	 0.37	   71.26	  0.275
DDO161     	195.81973	-17.42303	  7.50	70.0	  1	 66.3	  0.548	 1.22	  169.37	  1.378
DDO168     	198.61666	+45.91976	  4.25	63.0	  2	 53.4	  0.191	 1.02	   92.22	  0.413
DDO170     	198.97408	+25.43615	 15.40	66.0	  2	 60.0	  0.543	 1.95	   73.93	  0.735
ESO079-G014	015.71436	-65.60999	 28.70	79.0	  1	175.0	 51.733	 5.08	 2295.25	  3.140
ESO116-G012	048.26977	-57.35725	 13.00	74.0	  1	109.1	  4.292	 1.51	 1320.78	  1.083
ESO444-G084	204.33500	-28.04417	  4.83	32.0	  2	  0.0	  0.071	 0.46	   66.81	  0.135
ESO563-G021	131.82075	-20.03566	 60.80	83.0	  1	314.6	311.177	 5.45	 6558.89	 24.298
F561-1     	122.38583	+22.55944	 66.40	24.0	  3	 50.0	  4.077	 2.79	   93.07	  1.622
F563-1     	133.75583	+19.75167	 48.90	25.0	  1	109.9	  1.903	 3.52	   41.77	  3.200
F563-V1    	131.65750	+18.89028	 54.00	60.0	  3	  0.0	  1.540	 3.79	   40.63	  0.610
F563-V2    	133.25833	+18.43833	 59.70	29.0	  1	116.6	  2.986	 2.43	  146.16	  2.169
F565-V2    	144.40250	+21.77083	 51.80	60.0	  2	  0.0	  0.559	 2.17	   40.26	  0.699
F567-2     	154.48458	+21.06139	 79.00	20.0	  3	  0.0	  2.134	 3.08	   46.65	  2.449
F568-1     	156.42542	+22.42444	 90.70	26.0	  1	  0.0	  6.252	 5.18	   57.13	  4.498
F568-3     	156.74583	+22.22667	 82.40	40.0	  1	  0.0	  8.346	 4.99	  132.08	  3.195
F568-V1    	161.25860	+22.05432	 80.60	40.0	  1	112.3	  3.825	 2.85	   90.54	  2.491
F571-8     	173.47625	+19.35500	 53.30	85.0	  1	139.7	 10.164	 3.56	   87.26	  1.782
F571-V1    	171.57500	+18.83167	 80.10	30.0	  2	 83.6	  1.849	 2.47	   64.39	  1.217
F574-1     	189.55542	+22.29972	 96.80	65.0	  1	 97.8	  6.537	 4.46	  128.48	  3.524
F574-2     	191.69708	+21.80333	 89.10	30.0	  3	  0.0	  2.877	 3.76	   41.38	  1.701
