#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-06T23:19:26 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-06T23:19:26	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/438/3465/table2&-out=IDpt,x,y,z&-out.max=999999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74383465
#Name: J/MNRAS/438/3465
#Title: Cosmic web filaments in the SDSS (Tempel+, 2014)
#INFO	ivoid=ivo://cds.vizier/j/mnras/438/3465	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/438/3465	    IVOID of underlying data collection
#INFO	creator=Tempel E.	    First author or institution
#INFO	cites=bibcode:2014MNRAS.438.3465T	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2014	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/438/3465	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74383465	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_438_3465_table2:
#Name: J/MNRAS/438/3465/table2
#Title: Filament points properties
#Column	IDpt	(I6)	[1/275599] Unique identification number for a filament point, shared for all filaments	[ucd=pos.distance]
#Column	x	(F8.3)	Co-moving coordinate of the point (Mpc/h)	[ucd=pos.distance;pos.cartesian.x]
#Column	y	(F8.3)	Co-moving coordinate of the point (Mpc/h)	[ucd=pos.distance;pos.cartesian.y]
#Column	z	(F8.3)	Co-moving coordinate of the point (Mpc/h)	[ucd=pos.distance;pos.cartesian.z]
IDpt	x	y	z
 	Mpc	Mpc	Mpc
------	--------	--------	--------
     1	-111.669	 270.949	-155.936
     2	-111.989	 271.140	-156.317
     3	-112.336	 271.369	-156.618
     4	-112.688	 271.616	-156.880
     5	-113.043	 271.858	-157.135
     6	-113.417	 272.108	-157.353
     7	-113.796	 272.360	-157.561
     8	-114.175	 272.605	-157.788
     9	-114.562	 272.849	-158.013
    10	-114.953	 273.112	-158.202
    11	-115.344	 273.404	-158.330
    12	-115.731	 273.716	-158.397
    13	-116.117	 274.034	-158.419
    14	-116.498	 274.357	-158.410
    15	-116.878	 274.683	-158.389
    16	-117.253	 275.012	-158.352
    17	-117.619	 275.340	-158.271
    18	-117.974	 275.657	-158.119
    19	-118.323	 275.960	-157.914
    20	-118.688	 276.228	-157.693
    21	-119.077	 276.463	-157.484
    22	-119.478	 276.683	-157.283
    23	-119.881	 276.904	-157.086
    24	-120.270	 277.145	-156.885
    25	-120.643	 277.405	-156.678
    26	-120.999	 277.683	-156.462
    27	-121.346	 277.970	-156.243
    28	-121.696	 278.248	-156.018
    29	-122.048	 278.519	-155.787
    30	-122.393	 278.791	-155.548
    31	-122.727	 279.106	-155.276
    32	-123.102	 279.393	-155.036
    33	-123.520	 279.634	-154.851
    34	-123.930	 279.920	-154.699
    35	-124.294	 280.281	-154.537
    36	-124.606	 280.700	-154.367
    37	-124.925	 281.063	-154.231
    38	-125.253	 281.419	-154.101
    39	-125.580	 281.776	-153.976
    40	-125.949	 282.106	-153.882
    41	-126.331	 282.405	-153.760
    42	-126.719	 282.674	-153.594
    43	-127.087	 282.932	-153.367
    44	-127.452	 283.195	-153.147
    45	-127.820	 283.467	-152.944
    46	-128.184	 283.748	-152.749
    47	-128.548	 284.032	-152.557
    48	-128.914	 284.313	-152.364
    49	-129.280	 284.587	-152.161
    50	-129.642	 284.858	-151.946
    51	-128.902	 170.873	-120.218
    52	-128.899	 171.370	-120.217
    53	-128.815	 171.860	-120.257
    54	-128.705	 172.345	-120.317
    55	-128.591	 172.828	-120.384
    56	-128.488	 173.313	-120.447
    57	-128.387	 173.800	-120.520
    58	-128.285	 174.292	-120.598
    59	-128.137	 174.770	-120.652
    60	-127.909	 175.206	-120.642
    61	-127.612	 175.601	-120.568
    62	-127.289	 175.976	-120.468
    63	-126.989	 176.366	-120.379
    64	-126.688	 176.767	-120.312
    65	-126.389	 177.167	-120.224
    66	-126.099	 177.548	-120.078
    67	-125.813	 177.873	-119.836
    68	-125.526	 178.151	-119.535
    69	-125.210	 178.372	-119.168
    70	-124.898	 178.639	-118.847
    71	-124.619	 178.957	-118.562
    72	-124.401	 179.338	-118.325
    73	-124.278	 179.733	-118.042
    74	-124.207	 180.131	-117.729
    75	-124.167	 180.530	-117.410
    76	-124.091	 180.922	-117.108
    77	-124.018	 181.315	-116.808
    78	-123.952	 181.712	-116.510
    79	-123.859	 182.099	-116.208
    80	-123.733	 182.469	-115.887
    81	-123.560	 182.843	-115.598
    82	-123.370	 183.231	-115.346
    83	-123.157	 183.637	-115.144
    84	-122.946	 184.048	-114.952
    85	-122.731	 184.464	-114.771
    86	-122.526	 184.882	-114.584
    87	-122.346	 185.300	-114.366
    88	-122.177	 185.724	-114.145
    89	-121.990	 186.152	-113.960
    90	-121.748	 186.578	-113.855
    91	-121.477	 187.000	-113.806
    92	-121.188	 187.417	-113.791
    93	-120.896	 187.826	-113.800
    94	-120.593	 188.229	-113.840
    95	-120.282	 188.626	-113.915
    96	-119.970	 189.019	-113.995
    97	-119.670	 189.420	-114.034
    98	-119.385	 189.827	-114.013
    99	-119.127	 190.244	-113.913
   100	-118.884	 190.662	-113.780
   101	-118.661	 191.085	-113.616
   102	-118.441	 191.512	-113.452
   103	-118.204	 191.935	-113.321
   104	-117.933	 192.347	-113.233
   105	-117.666	 192.766	-113.181
   106	-117.427	 193.201	-113.134
   107	-117.240	 193.665	-113.093
   108	-117.080	 194.140	-113.048
   109	-116.928	 194.618	-113.002
   110	-116.762	 195.087	-112.955
   111	-116.596	 195.555	-112.894
   112	-116.436	 196.025	-112.829
   113	-116.258	 196.490	-112.779
   114	-116.088	 196.956	-112.711
   115	-115.889	 197.413	-112.650
   116	-115.712	 197.885	-112.636
   117	-115.567	 198.366	-112.642
   118	-115.465	 198.858	-112.626
   119	-115.374	 199.341	-112.526
